Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,3.6,4.6,5.6,9.1,12.7,16.8,19.0,19.6,19.6
1972,6.1,8.1,11.2,11.4,11.4,12.7,26.9,41.1,66.8
1973,7.9,9.9,9.9,9.9,12.4,14.7,21.1,21.6,32.5
1974,7.4,8.1,9.1,9.9,12.2,12.2,17.8,31.7,51.3
1975,4.8,7.9,10.2,13.0,15.5,18.3,27.7,32.5,43.2
1976,14.5,19.0,23.6,34.5,35.1,36.1,36.1,36.6,42.9
1977,3.6,5.8,7.1,12.4,19.6,29.2,55.6,67.1,89.2
1978,6.6,9.5,12.7,19.6,21.2,26.9,32.5,32.5,41.8
1979,5.2,6.4,7.2,7.4,7.4,11.6,26.5,29.2,47.5
1980,4.8,6.4,7.8,10.2,14.2,20.6,22.4,25.8,35.4
1981,,,,,20.3,21.7,28.0,33.8,56.4
1982,6.1,7.4,8.3,10.9,12.3,17.8,33.1,37.8,42.2
1983,7.7,10.8,10.8,12.0,12.2,17.0,17.0,23.0,30.4
1984,7.1,12.6,13.4,13.4,13.4,15.2,22.7,33.0,35.5
1985,3.6,4.5,4.7,5.2,9.2,13.4,21.0,38.3,69.5
1986,9.6,9.6,13.7,16.4,18.5,23.5,27.8,28.0,32.4
1987,11.2,12.8,15.2,15.8,16.0,16.0,20.7,21.7,30.0
1988,7.8,9.2,9.4,9.6,10.5,13.2,21.2,23.0,27.6
1989,9.3,10.9,16.2,18.2,18.2,24.3,36.9,51.0,51.0
1990,6.2,8.8,10.0,15.0,18.8,28.0,38.5,42.0,42.6
1991,10.9,17.0,23.5,31.6,33.2,36.5,36.8,36.8,37.0
1992,3.8,5.2,5.8,7.2,11.0,14.4,19.8,28.5,48.6
1993,4.0,6.4,7.8,9.0,9.4,11.4,20.8,23.4,29.0
1994,6.8,9.2,11.8,12.2,12.4,12.7,15.0,16.2,23.2
1995,5.8,9.1,9.4,10.5,14.1,19.5,27.1,28.2,31.0
1996,,,13.6,16.7,17.5,19.6,20.0,26.5,39.2
1997,9.4,11.3,12.9,17.7,21.7,22.5,28.4,42.8,57.1
1998,6.7,8.2,8.8,8.8,11.2,21.5,27.2,28.6,38.2
2001,11.8,13.7,14.5,21.4,23.6,23.6,23.8,30.1,44.2
2003,9.8,16.3,23.2,37.6,40.9,44.8,51.8,53.1,58.9
2005,8.0,11.7,17.5,21.8,27.4,27.6,28.2,31.4,38.5
2006,9.7,12.6,14.2,16.2,18.2,27.8,32.8,38.9,42.7
2007,8.6,13.2,16.4,19.5,20.0,23.6,23.8,34.1,35.5
2008,,,,,,,24.4,42.2,54.2
2009,5.0,6.8,7.2,8.1,9.3,11.7,19.1,28.6,38.5
2010,4.9,6.5,8.1,12.3,14.8,18.7,38.4,44.0,47.1
2011,12.9,20.2,22.0,28.8,43.8,46.6,47.8,47.8,73.1
2012,8.4,10.8,14.4,17.6,23.2,32.3,33.8,37.3,45.3
2013,5.2,10.1,11.6,13.4,20.4,24.8,37.9,37.9,37.9
