Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1973,3.1,4.3,4.8,5.1,5.3,10.7,17.0,30.0,39.4
1975,4.3,7.1,7.4,10.2,12.7,21.6,26.4,27.9,31.0
1976,6.9,9.4,10.4,12.5,20.3,23.1,24.1,33.3,48.8
1977,3.8,5.8,6.6,8.4,9.7,11.4,23.6,32.0,50.8
1978,3.1,5.2,6.9,8.9,12.3,16.6,20.9,25.7,30.5
1979,3.8,5.7,7.6,8.6,9.8,14.8,20.4,20.8,29.6
1980,4.7,5.1,6.3,10.7,14.5,17.2,25.5,42.8,44.8
1981,2.1,3.4,4.2,5.8,7.2,7.2,16.2,24.3,28.8
1982,4.7,6.3,6.5,6.7,10.8,15.6,19.7,23.4,24.2
1983,4.2,8.0,8.5,12.4,18.6,26.7,40.8,43.7,49.0
1984,3.8,4.9,6.5,6.5,8.3,11.7,26.6,36.9,39.4
1985,6.8,8.6,9.0,9.5,10.8,14.2,39.8,52.8,63.7
1986,10.3,11.9,12.2,12.2,12.2,16.0,24.4,39.4,43.4
1987,3.1,4.6,5.0,5.6,8.3,13.5,21.7,22.4,24.2
1988,4.7,9.3,12.7,13.4,15.3,17.4,29.8,36.8,41.4
1989,9.9,18.2,20.7,22.0,23.5,23.7,23.7,26.6,33.2
