Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1961,4.6,5.8,7.4,11.2,11.4,11.4,18.8,29.2,42.2
1962,7.1,8.6,8.9,9.9,12.7,20.1,21.1,32.5,40.1
1963,2.5,4.8,6.1,8.9,13.5,19.0,27.4,34.0,40.4
1964,2.3,3.8,4.6,7.6,11.4,19.0,33.3,46.2,54.6
1965,4.1,6.3,6.9,8.9,17.8,27.2,34.5,36.8,57.7
1966,2.8,5.1,6.9,10.2,15.5,17.5,33.3,57.7,85.3
1967,2.8,4.6,6.3,9.1,14.2,14.7,28.2,38.6,42.4
1968,3.6,4.3,5.1,8.6,11.9,13.7,27.2,46.7,82.3
1972,,,,,13.7,25.7,51.6,62.2,78.0
1973,,,,,14.0,15.5,27.7,31.2,42.6
1974,,,,,8.4,9.9,21.4,38.4,49.8
1975,,,,,14.5,22.9,42.0,50.5,74.5
1976,,,,,6.6,11.9,24.5,33.5,42.9
