Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1970,2.8,5.3,6.1,8.9,12.4,17.3,32.3,42.7,60.5
1971,2.8,5.6,8.1,10.7,14.2,20.6,31.7,52.6,77.5
1972,3.3,5.1,5.8,7.4,13.0,22.1,61.7,98.3,120.4
1973,2.5,4.8,6.9,8.1,11.2,15.7,31.2,40.1,64.5
1974,4.3,7.6,9.1,10.4,16.8,23.6,50.3,82.8,135.9
1975,2.8,4.1,5.3,7.9,8.9,15.2,29.5,43.7,63.5
1976,3.3,4.8,6.3,10.2,14.0,24.6,63.2,90.2,110.0
1977,7.1,7.6,8.6,10.4,13.5,17.5,27.2,43.9,65.5
1978,5.8,6.0,7.1,8.8,12.1,16.7,35.6,57.5,82.9
1979,2.8,4.3,5.7,8.6,11.5,21.1,39.4,63.1,96.8
1980,5.5,6.6,8.4,10.3,13.3,20.9,42.5,72.3,114.1
1981,4.5,6.4,7.3,8.6,11.6,21.4,49.5,71.2,109.8
1982,2.3,3.9,5.5,7.6,9.2,14.7,35.2,46.8,84.0
1983,5.6,7.5,10.8,13.6,16.3,21.3,44.1,76.9,127.5
1984,2.6,3.9,4.9,7.3,10.8,14.4,32.0,61.9,85.8
1985,2.5,3.2,4.4,6.7,11.4,18.3,40.0,71.8,82.3
1986,3.7,6.7,7.6,11.0,18.8,29.8,67.8,91.2,159.2
1987,3.8,6.1,7.6,10.1,17.2,23.8,41.9,67.2,84.9
1988,3.1,5.0,7.4,14.8,22.0,27.8,39.5,62.7,82.7
1989,3.5,4.5,5.5,7.3,8.6,13.9,30.3,46.6,79.3
1990,3.0,4.3,4.8,7.1,12.5,19.5,39.5,73.4,100.8
1991,2.7,4.3,5.0,8.9,16.0,23.6,49.2,75.6,119.1
1992,4.6,6.1,6.3,9.9,12.9,17.9,36.5,66.1,85.6
1993,3.8,4.8,6.0,8.0,14.1,24.5,48.1,65.2,86.8
1994,7.0,8.5,9.2,9.2,15.1,26.3,54.4,92.8,111.1
1995,4.1,5.7,8.5,12.8,13.8,18.6,28.1,41.3,59.8
1996,2.9,4.2,5.4,6.7,10.9,17.8,35.2,56.1,82.1
1997,3.4,5.7,8.4,11.6,19.5,30.5,66.7,88.3,100.6
1998,3.9,5.5,7.5,8.8,10.3,16.0,31.2,53.2,66.3
1999,3.6,5.4,7.0,10.2,13.6,25.5,59.7,92.8,124.4
2000,3.5,4.4,6.2,11.1,14.0,18.9,33.1,59.4,78.7
2001,2.5,3.6,4.9,8.0,11.8,20.6,41.2,70.0,106.9
2002,2.2,3.7,5.4,9.3,15.6,21.4,40.1,60.6,80.1
2003,3.1,5.1,6.7,8.8,16.0,23.7,40.5,57.4,94.9
2004,3.6,4.6,6.1,9.7,12.9,20.6,42.7,62.8,89.9
