Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1969,1.8,3.6,4.1,5.3,9.4,17.5,22.1,23.9,23.9
1970,0.5,1.0,1.5,2.3,4.1,5.6,12.2,17.3,17.5
1971,3.6,4.1,4.3,4.6,4.6,4.8,10.9,20.3,23.1
1972,0.5,0.8,1.3,1.8,3.6,6.6,13.5,13.5,15.2
1973,2.3,2.3,3.0,4.8,7.6,7.9,8.6,8.6,8.6
1974,0.8,1.3,1.3,1.8,2.8,5.3,7.9,13.0,14.5
1976,1.0,1.0,1.5,2.5,3.0,5.3,7.9,8.6,10.9
1977,0.8,0.8,0.8,1.5,2.3,2.3,6.6,6.6,9.1
1978,1.0,1.2,1.6,2.2,2.9,5.2,8.6,16.4,19.7
1982,2.1,3.3,4.3,5.2,6.8,8.0,13.0,13.8,14.0
1983,0.6,0.8,0.9,1.8,3.5,5.4,7.0,8.8,8.8
1984,0.7,1.2,1.3,2.3,4.2,6.6,9.2,9.4,14.8
1985,0.6,0.6,0.8,1.3,2.2,3.7,4.6,5.4,5.4
1986,0.6,0.8,1.0,1.7,2.7,3.7,4.1,4.3,5.8
1987,1.2,1.4,1.9,3.3,4.8,8.5,16.5,20.5,21.2
1988,1.7,2.9,4.3,7.3,11.0,15.7,28.2,41.2,52.8
1989,1.7,2.7,3.5,4.7,4.9,6.2,6.2,7.8,8.6
1990,0.8,1.2,1.7,2.5,4.7,6.6,9.2,11.0,11.0
1991,1.5,1.7,1.8,2.0,2.6,4.7,10.7,11.5,11.5
1992,0.8,1.0,1.4,2.1,3.5,4.4,5.4,5.6,5.6
1993,1.2,1.4,1.4,2.0,3.7,5.1,8.4,8.8,11.2
1994,3.0,5.2,6.6,7.2,7.4,7.4,8.6,9.3,9.5
1996,4.2,4.2,4.2,4.2,4.2,5.7,13.7,18.7,28.2
1997,0.9,1.5,1.9,2.8,4.5,8.4,15.2,19.1,20.0
2000,0.5,0.8,1.1,1.4,2.5,4.8,7.4,9.7,9.9
2001,1.1,1.5,2.0,3.1,4.9,7.1,15.7,25.7,38.7
2002,1.4,1.4,1.4,2.1,3.5,5.0,8.1,11.5,11.5
