Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1970,1.3,2.0,3.0,6.1,10.7,19.8,34.5,54.6,80.5
1971,2.3,4.1,5.3,8.4,12.4,20.1,48.8,91.4,122.2
1972,1.8,2.8,3.6,6.1,9.9,16.5,25.9,47.2,72.9
1973,1.5,3.0,4.1,7.6,13.2,20.6,40.6,62.0,115.8
1974,3.3,4.8,6.9,9.7,13.2,24.4,55.4,84.6,116.6
1975,1.5,2.8,4.3,8.1,16.0,28.4,57.7,83.8,131.3
1976,2.0,2.5,3.9,7.6,15.0,24.6,54.4,82.8,114.3
1977,3.0,5.8,6.1,7.1,10.7,16.5,32.8,41.7,64.3
1978,2.0,3.1,4.2,6.4,10.2,16.8,41.3,70.3,99.7
1979,2.7,3.9,4.9,5.4,9.5,17.2,32.4,39.6,41.9
1980,1.7,2.6,3.9,7.0,10.5,15.7,33.4,60.5,112.1
1981,2.1,3.2,3.9,6.0,10.5,19.2,44.4,80.8,110.4
1982,1.2,1.8,2.6,4.8,7.3,11.9,24.2,44.5,61.0
1983,1.1,1.5,2.1,3.8,6.3,10.6,24.2,47.5,70.5
1984,2.4,3.7,4.8,6.8,10.7,20.4,44.6,68.1,95.3
1985,2.5,3.1,3.9,6.9,10.9,15.5,36.1,63.0,112.2
