Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1972,,,,,19.6,26.7,27.9,37.1,64.3
1973,,,,,12.7,16.0,29.7,53.3,72.1
1974,,,,,13.2,24.9,33.3,33.3,52.3
1975,,,,,21.1,21.1,41.7,42.2,51.1
1976,,,,,22.6,25.1,25.9,25.9,29.0
1977,,,,,15.2,20.1,38.6,53.1,54.4
1979,,,,,17.3,26.2,62.4,77.7,77.7
1980,,,,,20.6,37.6,53.2,54.0,54.7
1981,,,,,15.8,29.2,58.1,60.1,68.4
1982,,,,,14.3,21.7,37.7,47.2,47.2
1983,,,,,10.7,13.9,26.1,37.3,54.3
1984,,,,,11.1,16.4,31.2,37.9,53.4
1985,,,,,22.2,25.3,35.4,50.7,57.7
1986,,,,,19.0,23.7,56.9,59.7,75.6
1987,8.6,10.7,11.8,21.7,23.3,29.6,35.9,51.8,84.7
1988,4.8,7.6,7.6,8.1,9.5,14.5,24.8,31.1,37.7
1989,10.2,15.8,21.8,34.4,45.2,47.8,47.8,62.1,67.9
1990,3.1,5.8,8.6,10.5,11.3,17.7,36.6,60.8,63.0
