Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1969,7.4,14.2,15.2,16.0,25.4,29.7,49.3,49.3,65.5
1970,6.6,10.7,16.0,24.6,26.9,26.9,36.1,39.1,39.4
1971,7.9,9.9,10.9,14.5,16.8,24.6,39.1,48.3,49.5
1972,6.3,9.9,11.2,13.0,15.7,16.8,25.9,32.0,33.5
1973,6.3,8.4,11.4,14.2,24.1,29.2,34.3,42.9,58.9
1974,4.6,6.3,8.6,13.7,17.3,22.1,33.0,45.7,57.7
1975,15.0,26.2,26.4,26.4,26.7,28.7,48.8,53.8,53.8
1976,7.1,8.4,10.2,12.2,13.0,17.0,34.0,45.0,45.0
1977,10.7,14.5,14.5,14.5,14.5,23.9,24.1,27.7,32.5
1978,4.9,8.2,8.5,14.1,16.3,27.5,39.8,45.2,45.2
1979,6.0,8.8,11.8,20.6,30.7,53.9,91.2,91.4,98.0
1980,2.6,4.6,6.3,9.0,17.7,24.1,28.7,31.9,32.8
1981,6.6,9.4,12.1,16.8,17.1,28.3,50.4,52.8,56.6
1982,10.2,19.6,27.5,41.2,55.1,73.0,80.3,81.6,85.1
1983,8.3,11.0,12.9,18.2,27.6,37.0,47.4,50.7,50.9
1984,5.1,8.7,10.2,11.6,12.2,16.7,19.2,30.7,32.0
1985,3.3,4.7,5.5,7.7,12.5,15.7,18.2,21.8,25.2
1986,6.5,9.5,12.9,17.7,23.2,29.2,31.8,32.0,43.2
1987,8.0,14.2,19.4,20.0,27.5,40.5,67.7,74.0,95.1
1988,5.5,9.2,10.7,15.0,24.2,39.7,48.4,77.7,91.2
1989,5.0,8.5,11.1,14.0,16.4,16.7,,,101.4
1990,2.6,5.0,6.4,11.2,15.7,17.5,24.7,28.2,37.6
1991,7.1,11.7,13.4,18.4,18.9,26.2,33.9,47.9,49.0
1992,3.4,6.0,7.0,8.2,10.6,17.1,27.5,34.7,40.3
1993,8.2,13.7,17.8,26.6,31.7,36.9,39.0,44.5,52.2
1994,5.9,8.0,9.2,13.6,16.5,17.9,21.1,22.0,27.1
1995,5.4,10.7,13.9,15.7,18.0,21.4,30.9,40.0,40.8
1996,3.6,5.4,6.2,10.8,12.1,16.6,,,30.0
1998,8.8,17.0,21.0,24.0,27.3,39.5,42.1,44.8,45.2
