Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1991,4.9,6.6,9.1,13.8,22.8,45.6,123.0,208.0,306.4
1992,3.6,5.6,7.4,12.0,21.0,34.3,83.6,127.4,177.0
1993,4.3,7.0,8.5,13.7,26.7,51.0,138.0,223.6,342.4
1994,4.2,8.2,12.1,19.2,31.1,52.7,115.5,192.4,234.1
1995,4.9,7.1,9.2,14.0,20.2,32.0,62.5,95.6,121.9
1996,2.5,4.1,5.8,10.5,20.1,38.0,91.0,147.8,209.5
1997,3.9,6.1,7.9,12.3,21.8,41.6,102.8,155.4,209.9
1998,2.3,3.7,5.1,8.3,16.1,30.4,70.9,,
1999,3.8,5.4,6.9,13.1,21.2,42.0,99.1,134.3,184.5
2000,2.5,4.3,5.8,10.7,21.2,39.8,101.7,167.9,225.7
2006,4.0,5.6,6.8,12.0,23.0,41.4,115.0,173.8,239.6
2007,3.0,4.0,6.0,9.2,16.2,30.2,88.2,132.4,192.6
