Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1976,8.4,12.4,14.2,24.9,40.1,47.5,74.4,81.3,82.6
1977,5.3,5.3,6.1,7.9,9.7,16.8,26.9,35.1,37.8
1978,11.2,19.3,25.7,36.9,40.5,48.3,49.5,57.3,79.8
1979,7.0,10.4,13.2,19.8,23.1,29.0,39.8,51.9,54.4
1980,14.3,20.0,22.9,32.9,39.5,40.9,46.7,46.9,49.0
1981,5.1,7.9,10.7,14.1,18.0,31.3,42.4,65.1,87.7
1982,5.8,9.3,11.0,11.9,11.9,17.2,35.3,49.9,50.1
1983,7.6,14.6,17.8,21.7,28.4,29.9,29.9,31.2,47.8
1984,6.7,10.2,11.4,13.8,17.7,21.4,28.5,39.4,45.0
1985,7.2,9.1,9.9,12.2,14.2,19.7,32.2,39.9,49.8
1986,8.2,10.7,11.6,16.7,22.2,27.7,32.6,38.6,48.4
1987,5.3,6.4,6.4,8.3,10.8,15.4,22.2,28.0,37.2
1988,6.4,7.9,9.5,13.2,20.9,24.4,28.0,35.9,44.3
1989,5.9,7.0,10.5,15.7,24.5,28.6,33.5,36.4,47.4
1990,10.1,13.0,14.7,21.7,33.1,47.9,57.4,88.1,90.4
1991,8.6,11.8,13.3,18.4,22.4,24.9,42.6,42.6,43.1
1992,3.8,6.6,7.9,12.2,13.3,13.9,25.1,35.8,38.6
1993,6.0,9.7,13.5,21.7,25.8,31.5,36.3,38.7,46.1
1994,13.6,19.5,23.3,31.7,31.9,36.1,41.5,45.9,50.2
1995,13.5,18.1,23.6,26.6,34.8,42.7,60.0,61.2,61.2
1997,6.9,11.3,13.1,13.7,15.5,22.2,52.8,72.9,87.6
1998,12.9,19.0,24.7,25.2,25.2,25.2,25.8,34.2,34.2
1999,9.3,13.9,17.2,21.3,26.8,33.4,47.9,66.5,90.2
