Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1969,4.3,7.9,8.6,10.4,17.5,34.5,79.5,131.3,193.8
1970,3.0,5.8,8.4,15.2,25.4,41.7,72.9,80.8,87.6
1971,4.1,7.9,11.4,15.5,27.9,45.0,80.8,97.8,137.9
1972,3.0,5.1,7.1,13.5,20.8,27.7,66.8,80.8,104.1
1973,4.8,7.6,8.6,10.2,16.3,28.4,67.3,99.1,174.0
1974,5.3,7.1,7.4,10.2,17.0,21.3,44.4,79.8,136.9
1975,3.8,4.6,5.6,10.2,16.3,20.8,48.0,83.8,129.3
1976,2.5,4.1,4.8,8.6,14.5,23.1,50.8,72.4,97.0
1977,3.0,5.1,6.6,10.4,14.2,21.6,51.8,90.2,108.2
1978,7.3,8.4,9.9,13.0,20.7,30.5,76.4,116.0,210.3
