Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1994,7.4,11.0,13.7,19.2,24.7,28.6,47.6,47.8,52.8
1995,9.1,13.3,15.0,19.5,23.9,25.4,25.4,29.5,48.5
1996,3.3,3.6,4.0,5.5,10.4,14.2,30.0,49.7,67.9
1997,10.9,13.7,15.6,17.6,17.6,18.5,34.3,43.6,84.8
1998,4.1,6.1,8.3,10.0,10.6,16.9,,,47.6
1999,3.3,4.7,6.1,8.4,11.0,17.3,29.9,36.6,53.1
2000,5.4,10.1,14.1,18.3,20.0,25.0,25.0,31.2,39.6
2001,5.0,5.9,6.3,8.3,15.7,23.7,42.9,73.3,95.2
2002,3.1,3.3,3.5,4.7,6.2,9.4,18.3,27.6,33.1
2003,6.6,9.2,11.1,11.9,14.7,14.7,14.9,17.2,28.9
2004,5.6,9.6,12.8,14.1,14.1,15.0,22.7,35.8,41.2
2005,,,,,21.7,22.4,24.6,41.9,60.0
2006,4.8,7.9,8.7,13.7,16.0,20.8,21.0,30.3,42.1
2007,7.2,8.8,10.6,14.2,16.2,17.6,25.6,34.9,49.1
2009,4.4,5.0,5.6,7.0,11.6,13.6,20.0,37.2,45.2
2011,5.2,9.6,10.6,11.4,14.6,15.0,15.8,20.6,30.8
