Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1987,0.6,0.6,0.7,1.0,1.7,2.6,7.4,11.6,16.2
1988,2.7,2.7,2.7,2.7,3.4,4.5,9.7,14.5,25.2
1989,1.2,1.9,2.8,5.5,6.6,10.0,23.7,29.3,31.5
1990,1.0,1.2,1.4,2.1,3.1,4.2,12.1,14.8,23.7
1991,5.4,8.5,8.7,9.2,9.9,10.2,13.6,14.2,14.2
1992,0.4,0.6,0.8,1.2,2.1,3.3,4.6,7.8,9.5
1993,0.6,0.9,1.1,1.6,2.8,5.0,7.2,7.4,8.3
1996,0.6,1.1,1.3,1.4,2.7,4.3,7.9,9.1,9.5
1997,1.6,1.6,1.8,2.9,4.8,7.2,8.4,8.4,10.0
1998,0.6,1.0,1.5,1.8,2.2,3.4,,,14.4
1999,1.7,1.9,2.5,3.1,4.4,4.6,7.4,8.3,10.0
2000,2.3,2.3,2.7,3.9,5.7,9.2,21.6,25.7,35.0
2001,1.8,2.1,2.8,3.9,4.9,6.2,,,16.4
2002,1.0,1.4,1.9,2.8,5.0,7.8,14.7,20.3,26.7
2003,0.8,1.2,1.6,2.4,4.5,6.0,12.7,17.8,17.8
2004,0.6,0.9,1.1,2.2,3.5,5.4,11.3,12.4,16.2
