Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1966,6.6,10.7,14.5,16.8,19.8,19.8,24.6,28.2,32.0
1967,,,,25.4,38.1,46.7,56.4,58.7,59.2
1968,,,,23.6,38.6,44.2,58.4,58.4,58.4
1970,,,,22.6,22.6,22.9,26.4,34.5,42.9
1973,8.4,10.4,10.4,12.7,16.8,19.0,23.1,26.2,31.5
1974,8.6,16.0,19.0,21.8,25.9,30.5,38.4,45.5,46.2
1975,6.3,9.1,10.7,12.4,15.2,20.8,37.6,44.2,44.2
1976,7.1,10.7,12.4,14.5,22.6,26.9,27.2,30.7,34.5
1977,15.0,20.6,23.6,23.6,23.6,41.9,49.8,49.8,49.8
1978,10.6,16.9,19.6,24.1,24.1,24.1,34.1,35.4,41.4
1979,10.4,15.5,18.3,19.2,19.2,24.7,36.6,39.1,39.4
1980,9.1,13.2,15.9,21.6,31.1,47.4,76.0,83.5,89.9
1981,8.1,8.7,13.1,15.9,18.8,21.7,24.8,29.7,49.9
1982,15.6,18.6,22.2,36.1,36.8,36.9,38.8,38.8,40.1
1983,6.2,8.5,12.4,17.7,18.3,18.7,18.7,25.4,27.4
1984,14.0,21.0,28.5,37.0,37.5,37.5,37.5,38.3,40.7
1985,15.5,17.2,20.7,34.9,38.3,38.3,44.2,44.2,44.3
1986,8.9,12.1,13.4,16.7,22.5,31.1,68.2,71.7,87.6
1987,12.3,18.2,18.7,20.2,20.7,23.4,27.0,27.0,34.1
