Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,11.9,15.0,15.0,18.3,18.5,18.5,33.0,33.0,33.0
1974,7.6,9.4,11.4,16.0,20.8,24.4,31.5,38.1,39.1
1975,10.9,15.5,23.1,27.9,27.9,30.5,31.2,32.3,32.5
1976,7.6,12.4,16.3,19.3,20.6,20.6,21.6,32.0,32.0
1977,12.2,15.7,17.8,20.8,23.4,26.2,43.2,45.0,46.0
1978,12.0,13.9,14.1,21.8,21.9,28.5,28.9,38.9,44.2
1979,5.3,7.3,9.8,12.4,22.6,29.3,42.0,46.4,47.1
1980,8.4,9.5,11.1,14.2,25.5,36.0,47.0,50.4,72.6
1981,8.9,15.4,16.6,20.8,22.3,22.5,30.8,33.9,41.0
1982,,,,,16.4,19.7,37.7,46.7,48.2
1983,,,,,9.3,13.1,29.7,31.4,47.4
