Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1976,3.8,7.6,9.4,12.7,14.2,16.0,19.1,22.9,23.7
1977,3.8,4.8,5.1,7.4,11.7,17.8,23.0,28.6,31.1
1978,6.3,11.0,11.9,12.3,13.4,13.4,16.1,24.2,26.0
1979,8.3,14.8,17.5,21.0,21.4,23.1,25.9,30.4,30.9
1980,8.8,10.7,15.3,23.2,26.7,34.3,40.2,40.2,40.2
1981,8.8,11.2,13.8,15.0,18.0,18.7,23.2,25.0,25.7
1982,4.1,8.1,10.7,10.9,12.1,13.6,17.0,29.1,31.8
1983,,,,,25.2,33.3,37.2,43.4,74.6
1984,2.7,4.5,5.4,7.1,11.2,14.1,25.8,47.3,55.8
1985,5.3,7.1,9.0,11.3,11.3,11.8,14.2,21.7,26.4
1986,5.0,6.8,9.4,13.9,14.2,16.5,22.8,23.7,33.0
1987,5.0,7.8,10.7,11.6,14.1,17.7,33.7,51.5,67.9
1988,6.3,9.5,12.0,21.8,24.0,27.6,31.1,42.0,42.0
1989,6.6,10.2,11.4,16.7,25.8,26.6,26.8,28.1,29.8
1990,3.5,5.9,6.1,6.4,6.7,10.3,17.0,22.8,26.4
1991,4.8,6.2,9.3,10.4,15.8,17.2,31.6,34.2,42.4
1992,5.7,10.7,11.9,12.9,13.3,14.3,21.5,23.6,23.6
1993,4.3,6.9,7.0,8.2,12.0,19.3,20.1,26.0,38.8
