Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,6.1,10.4,13.7,18.5,22.6,33.3,47.0,63.5,75.7
1972,10.4,19.0,26.2,28.2,28.2,28.2,30.7,43.4,55.1
1973,8.1,13.2,16.3,22.4,25.9,28.2,45.5,65.3,72.4
1974,6.3,9.7,11.9,17.5,22.9,35.1,58.4,60.5,60.7
1975,5.6,9.1,11.9,20.3,34.0,52.6,62.0,62.5,89.2
1976,5.1,7.4,10.2,17.0,19.8,26.7,45.7,54.6,57.7
1977,5.3,8.4,10.9,16.8,28.7,32.8,53.6,54.6,62.0
1978,5.9,10.5,11.2,11.7,11.8,17.2,38.9,49.4,63.5
1979,5.7,10.1,12.2,20.5,24.2,24.4,38.6,52.6,62.1
1980,7.0,12.5,16.8,22.2,22.2,22.8,54.4,69.5,71.8
1981,6.8,11.5,14.0,21.6,38.4,43.3,59.6,64.1,64.4
1982,3.5,6.8,8.2,11.4,15.5,17.7,35.8,55.7,57.8
1983,3.4,5.3,5.9,8.5,16.4,26.9,48.6,65.5,79.5
1984,5.8,8.6,12.0,20.4,22.5,37.1,62.7,72.1,72.7
1985,5.2,9.6,13.5,24.3,31.0,31.4,51.6,61.8,63.0
1986,5.6,8.2,9.1,13.0,25.9,39.0,67.3,68.9,87.7
1987,7.4,14.7,22.2,35.7,52.6,58.6,75.1,91.8,103.8
1988,5.8,7.7,10.3,15.5,21.0,24.0,34.4,41.5,56.7
1989,8.5,14.7,20.2,23.7,25.0,29.1,52.9,67.4,70.0
1990,7.3,8.5,10.7,17.2,27.4,32.4,37.8,66.2,79.0
1991,10.2,12.7,14.9,18.2,23.5,32.7,51.0,66.7,68.4
1992,4.0,4.8,5.0,7.3,10.5,,,,39.8
1993,3.9,6.1,7.2,11.0,16.8,23.1,46.5,65.9,70.4
1994,7.6,13.6,18.2,22.6,23.6,32.9,72.1,73.0,73.4
1995,8.1,13.4,16.1,22.9,27.1,41.8,64.6,71.6,71.6
1996,8.3,8.9,9.4,15.8,23.2,32.9,52.0,95.0,130.5
1997,5.8,8.3,8.6,9.3,11.2,16.4,,,42.0
1998,5.3,9.9,10.8,13.1,15.9,25.9,40.7,71.3,73.8
1999,5.5,7.7,9.5,15.1,18.9,28.2,57.7,58.2,58.4
2000,7.6,12.0,18.0,31.2,55.2,58.5,58.7,58.7,59.2
2001,8.8,15.2,18.8,29.8,31.6,39.0,45.2,47.2,52.1
2002,4.6,6.3,8.6,11.8,14.0,18.5,34.0,49.7,72.2
2003,7.4,10.0,10.3,17.1,21.6,23.8,51.5,63.8,67.1
2004,6.9,8.9,10.5,17.4,25.9,32.9,46.8,50.7,56.5
2005,4.0,6.4,7.8,12.3,23.5,31.8,51.8,80.4,91.4
2006,9.5,11.9,14.4,22.1,31.1,39.3,53.5,55.5,66.8
2007,6.4,9.3,12.4,18.9,22.1,34.8,53.3,53.4,53.8
2008,6.7,10.1,13.2,14.3,19.4,30.2,37.9,50.2,67.1
2009,3.8,6.0,9.0,13.6,24.0,40.8,65.2,81.2,87.6
2010,5.2,8.4,10.7,14.8,23.5,44.4,65.4,80.1,112.5
2011,6.8,10.3,11.2,14.2,27.3,47.2,67.8,70.0,70.4
2013,6.6,8.7,11.6,18.9,28.2,36.1,52.8,56.5,68.9
2014,4.9,7.9,10.9,15.8,21.0,37.0,67.2,71.5,78.3
2015,6.9,7.8,9.8,12.8,19.6,26.9,44.9,60.6,61.2
2016,4.3,6.2,8.1,10.0,19.9,30.5,50.4,50.4,50.4
