Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1973,6.1,6.6,9.7,15.0,19.8,27.7,42.4,62.7,67.3
1974,3.8,6.3,8.4,11.9,14.2,18.5,45.5,48.8,50.8
1975,5.6,8.9,12.7,17.5,23.6,31.2,58.9,59.7,60.7
1976,6.3,10.2,13.7,19.6,29.2,34.8,37.1,46.5,49.3
1977,5.6,9.4,12.7,20.1,31.7,34.8,51.1,59.4,80.8
1978,5.8,8.1,10.4,11.9,16.2,17.4,27.7,37.6,55.9
1979,9.4,12.5,13.1,14.2,18.5,21.9,40.5,43.7,65.3
1980,6.3,12.5,15.8,22.0,32.0,46.0,69.0,74.6,75.7
1981,7.1,10.8,13.6,16.2,23.7,36.5,51.8,52.6,52.6
1982,3.1,5.9,8.4,15.1,19.3,27.6,55.6,63.4,77.1
1983,4.4,6.1,9.1,11.8,14.9,22.5,52.2,59.4,60.0
1984,3.3,5.1,6.7,11.2,15.9,24.2,42.5,56.0,72.6
1985,6.5,11.8,14.7,26.9,31.6,39.7,77.7,94.2,102.8
1986,9.6,15.4,19.8,28.2,30.9,32.9,39.4,53.4,59.4
1987,10.0,11.8,12.8,14.8,16.2,18.2,28.7,33.1,48.0
1988,17.7,25.2,31.5,43.3,55.5,70.1,70.4,70.4,70.4
