Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1966,11.7,16.8,18.5,19.0,21.1,25.9,38.4,55.1,56.9
1967,5.8,10.2,13.7,17.0,18.5,23.4,26.2,26.4,35.8
1968,13.0,15.0,17.3,23.1,32.0,33.8,47.2,50.5,50.8
1969,16.3,20.3,21.3,22.1,22.6,22.6,24.1,36.8,42.4
1970,7.9,10.9,13.7,19.0,23.4,30.0,60.5,61.0,61.0
1971,14.2,17.8,17.8,18.5,29.7,35.1,57.9,68.3,80.3
1972,18.5,23.4,26.2,29.2,37.1,38.9,41.7,43.4,69.1
1973,11.4,14.5,16.0,19.3,22.6,25.1,43.9,52.8,54.4
1974,10.9,12.2,14.0,17.0,20.8,25.9,28.4,32.8,46.2
1977,6.6,7.9,8.4,14.0,15.2,16.3,21.8,37.6,37.6
1978,5.0,6.8,8.3,16.3,18.0,19.0,28.0,45.4,55.8
1979,6.9,10.4,14.1,21.1,26.8,33.2,54.1,64.6,64.6
1980,9.0,16.5,20.8,27.0,31.6,34.5,41.1,41.4,41.4
1981,,,,,15.5,19.2,47.9,66.2,66.4
1982,4.2,6.3,7.5,11.6,17.8,31.7,63.6,74.3,74.8
1983,8.8,12.2,18.3,24.4,30.3,32.5,33.0,39.5,43.8
1984,5.0,6.6,8.1,12.5,20.9,24.4,45.9,67.8,72.7
1985,5.9,8.6,10.3,16.0,22.2,28.6,45.8,56.1,58.8
1986,6.5,7.5,8.6,10.7,14.8,17.7,24.7,24.8,45.1
1987,3.7,5.1,7.7,9.7,9.7,12.5,26.3,40.0,57.5
1988,5.9,10.3,14.2,22.0,22.5,26.6,40.3,58.9,78.4
1989,4.4,8.6,10.7,16.0,26.3,28.7,33.1,36.6,45.2
1990,9.8,13.8,16.0,23.2,36.7,49.4,56.2,94.0,101.4
1991,5.3,7.7,9.4,11.3,14.0,16.9,35.7,38.3,43.6
1992,8.3,15.7,18.5,27.7,37.9,46.0,51.4,51.8,51.8
1993,16.8,23.3,28.9,34.7,34.7,34.7,43.4,50.3,63.8
1994,5.5,7.9,8.6,13.1,13.8,20.6,31.0,34.0,38.2
1995,8.7,11.0,11.2,14.0,17.7,30.1,39.3,53.6,64.8
1996,8.7,11.4,12.0,12.6,19.9,23.6,24.4,48.0,66.6
1998,5.2,9.4,10.8,11.5,11.9,13.3,21.6,29.0,32.0
1999,12.4,17.2,19.9,27.6,35.7,39.8,52.8,53.6,79.2
