Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1984,3.2,3.6,4.7,7.6,10.4,15.0,,,
1985,2.4,3.1,3.5,5.6,9.8,16.4,25.5,40.1,53.8
1986,3.3,4.0,4.7,5.9,10.6,18.2,42.6,68.6,79.7
1987,2.9,5.1,5.7,6.7,9.1,15.3,28.2,38.6,40.6
1988,1.9,2.7,2.9,4.6,7.2,11.9,20.7,32.0,34.5
1989,2.1,3.7,5.4,9.7,17.2,27.0,47.3,53.4,53.4
1990,4.7,7.3,8.8,11.0,14.1,16.9,22.0,29.8,42.4
1991,2.9,3.5,4.3,4.9,6.5,11.6,24.4,34.3,57.6
1992,1.8,2.2,2.9,4.0,6.3,9.0,15.6,24.1,41.6
1993,4.0,5.4,6.0,9.3,17.1,25.2,36.5,57.0,66.1
1994,5.8,7.3,9.7,12.9,13.6,16.4,30.8,50.5,61.9
1995,3.6,6.1,9.1,13.1,14.4,14.6,22.0,37.6,60.0
