Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1973,6.6,11.4,13.5,14.0,26.2,33.0,41.9,42.9,49.5
1974,7.4,10.2,13.2,21.3,21.6,25.9,29.0,29.2,47.0
1975,7.9,11.7,13.7,16.5,19.6,24.9,29.7,36.8,42.7
1976,7.4,12.4,15.0,27.9,38.9,46.0,71.1,81.8,85.1
1977,8.6,11.9,15.5,16.5,16.5,22.1,35.3,39.9,43.9
1978,12.3,21.4,27.5,27.8,27.9,33.3,33.4,44.7,55.9
1979,9.4,16.4,20.6,41.0,45.4,49.6,57.3,89.3,90.0
1980,5.3,6.2,7.5,9.3,14.4,26.4,29.0,38.6,38.6
1981,8.3,12.7,13.3,14.9,24.7,39.2,54.9,57.2,57.6
1982,6.1,7.0,9.9,16.4,27.0,35.3,49.0,49.0,50.1
1983,5.7,10.1,13.9,17.0,18.1,28.8,48.8,49.4,49.4
1984,3.9,6.0,7.1,10.8,14.3,17.2,31.4,36.2,36.2
1985,4.2,8.1,9.2,11.9,16.5,23.9,40.0,63.6,78.2
1986,6.7,10.2,12.9,15.0,19.7,23.8,24.7,27.5,50.3
1987,11.4,19.0,24.7,32.5,41.4,43.0,44.8,44.8,44.8
1988,5.0,9.7,11.3,14.7,17.9,25.2,49.0,49.5,66.6
1989,5.0,9.5,13.0,20.2,20.7,20.7,28.8,35.4,46.1
1990,8.3,11.0,15.1,25.8,33.9,36.1,40.2,74.3,74.9
1991,4.8,8.0,10.8,13.2,13.4,22.6,30.5,37.6,44.0
1992,5.0,5.9,7.5,11.3,12.8,14.8,31.5,42.3,43.0
1994,8.7,9.8,11.8,14.9,17.9,19.6,23.4,27.6,31.0
1995,9.2,17.6,20.8,27.1,38.0,38.2,51.0,64.1,64.1
1997,6.7,7.4,9.4,10.4,16.8,24.2,29.2,29.8,35.0
1998,7.9,9.6,12.7,19.6,29.2,35.8,36.8,38.0,47.9
1999,9.2,12.8,14.9,21.5,23.7,25.5,,,57.1
