Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1963,14.2,17.0,17.5,17.8,30.2,49.0,50.5,50.5,50.5
1964,5.8,10.7,12.2,14.2,14.5,19.3,29.7,42.9,59.9
1965,10.2,11.7,11.9,12.4,14.5,16.8,20.8,22.6,29.5
1966,18.0,23.6,26.9,39.9,47.0,48.0,48.5,51.3,59.2
1967,14.0,23.1,27.4,38.9,41.7,41.9,41.9,51.1,52.3
1968,5.8,8.4,9.1,11.9,16.3,23.4,38.6,42.9,51.3
1969,6.9,12.4,15.5,21.6,28.4,52.3,61.5,73.4,74.7
1970,8.9,11.4,12.4,13.7,18.3,23.6,34.3,39.6,47.5
1971,3.3,6.1,7.1,12.4,12.4,13.7,30.2,41.1,47.5
1972,3.3,3.8,4.8,6.6,10.9,15.0,33.5,42.4,42.4
1973,12.7,22.4,29.2,33.8,35.3,36.8,36.8,38.1,49.0
1974,10.9,15.2,17.3,24.4,25.1,25.1,27.9,36.1,53.3
1975,9.4,14.5,15.5,17.0,19.3,21.6,23.6,26.4,29.7
1976,6.1,7.6,9.4,11.7,14.5,16.0,19.8,21.1,28.7
1977,6.3,11.2,15.5,15.7,15.7,18.0,27.4,30.2,33.8
1978,8.5,12.0,13.2,15.5,17.9,24.8,33.6,33.6,41.0
1979,11.4,14.3,15.6,15.6,15.6,15.8,20.0,25.4,29.0
1981,4.6,6.2,7.1,11.1,14.7,16.0,25.2,26.8,28.8
1982,6.8,10.6,14.2,17.6,23.1,23.2,26.8,35.9,45.7
1983,4.0,7.6,11.2,13.0,13.0,20.3,36.8,46.0,48.7
1984,3.7,5.1,6.1,9.5,19.0,24.9,26.3,35.0,35.0
1985,13.3,18.7,21.7,22.5,22.5,35.8,57.8,61.7,70.8
1986,9.6,10.9,12.4,15.3,27.4,44.1,47.2,47.2,47.2
1987,9.0,10.3,12.1,19.9,27.5,36.8,41.8,41.8,43.9
1988,12.0,22.7,24.0,29.2,30.0,30.2,32.9,33.4,42.4
1989,8.2,12.3,13.7,23.5,27.3,27.5,29.3,35.4,42.6
1990,8.8,10.1,10.8,12.3,18.0,29.7,45.8,46.2,56.4
1991,9.9,11.6,14.4,20.7,23.5,27.4,49.2,54.4,55.8
1993,9.4,12.1,13.5,19.5,22.7,37.8,44.1,44.1,49.2
1994,8.3,10.1,11.2,17.5,21.7,23.8,29.7,33.7,39.0
1995,6.1,7.7,10.5,13.1,18.2,26.1,45.2,46.2,47.9
1996,3.5,5.4,6.8,7.5,8.6,12.4,24.5,29.1,37.6
1997,8.8,12.9,14.7,16.0,17.0,19.6,22.6,29.1,29.3
1999,6.9,11.3,13.3,17.3,27.9,35.9,62.1,79.2,93.8
2000,6.4,10.6,12.8,17.2,23.2,29.4,43.3,67.0,81.9
2001,9.5,15.7,20.0,25.6,31.4,36.9,73.1,87.3,88.1
2002,5.3,8.6,12.8,21.2,26.1,33.3,41.7,49.1,57.0
2005,17.2,27.2,30.7,42.8,50.6,82.7,100.8,101.1,125.9
2006,11.2,17.1,21.5,22.2,22.2,23.2,23.9,43.4,43.5
2007,12.0,17.3,20.1,20.4,22.4,33.9,42.5,51.5,52.2
