Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1969,4.3,8.4,11.7,14.2,16.3,25.9,48.8,54.1,61.0
1970,8.1,11.4,13.0,16.3,25.1,44.4,56.6,65.5,68.6
1971,5.1,9.7,13.2,13.2,21.6,22.9,26.7,29.7,39.1
1972,11.4,18.8,19.3,30.7,34.8,37.8,39.6,47.5,48.8
1973,4.3,7.6,9.1,10.9,16.0,20.6,25.1,32.8,41.4
1974,3.6,5.3,6.6,11.2,15.5,18.0,20.1,23.4,26.9
1975,14.0,15.7,18.5,18.5,20.6,25.4,47.2,51.8,52.1
1976,6.9,10.2,11.7,22.6,26.4,26.9,34.3,39.9,41.9
1977,7.4,7.6,8.4,9.4,13.5,16.5,28.4,33.8,35.8
1978,5.2,7.3,10.4,20.6,27.3,29.4,33.4,35.6,40.0
1979,6.3,8.4,8.8,10.1,11.6,14.1,27.9,41.4,45.2
1980,3.2,4.9,5.6,10.2,16.9,27.5,40.6,53.2,54.0
1981,2.9,3.8,4.5,6.4,8.5,13.8,19.8,29.4,47.0
1982,4.4,7.6,8.8,10.0,10.7,11.8,17.2,24.5,25.2
1983,4.8,6.7,8.5,15.4,21.6,23.8,29.1,32.8,32.8
1984,5.2,6.9,7.8,8.7,11.2,14.3,20.2,24.7,27.4
1985,6.7,8.0,8.7,15.8,26.4,42.4,57.4,62.4,62.4
1986,3.7,5.7,7.8,10.8,14.7,16.3,26.2,29.0,35.2
1987,4.5,6.7,9.4,10.8,13.3,15.2,22.2,23.0,24.2
1988,3.6,4.8,6.5,9.6,14.7,16.0,26.1,43.1,47.2
1989,4.0,4.2,6.4,9.8,11.5,11.5,18.2,24.0,28.6
1990,3.1,5.2,6.3,7.7,9.5,14.1,21.9,27.6,32.0
1991,7.5,12.3,16.0,24.6,33.4,37.4,39.0,46.5,63.6
1993,7.5,10.6,13.9,20.3,23.0,23.4,25.5,,
