Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2004,7.4,8.2,8.4,12.4,16.4,23.0,29.4,41.6,48.8
2006,4.6,7.2,9.6,14.4,17.8,23.7,39.4,42.3,63.6
2007,6.6,11.2,13.4,16.4,19.8,26.4,38.4,49.3,53.2
2008,5.8,8.6,10.0,17.4,23.6,35.0,46.4,80.8,84.0
2009,4.6,7.4,10.4,19.0,30.6,34.6,42.4,69.8,73.4
2010,4.4,6.2,8.4,12.2,21.2,28.6,47.8,56.8,71.2
2012,2.4,4.0,5.4,9.4,17.8,30.0,76.2,94.8,94.8
2015,3.4,5.8,8.4,14.0,18.4,25.6,56.8,75.2,92.8
2016,1.8,3.0,4.0,5.8,10.2,18.2,23.8,40.4,52.0
2017,2.6,3.8,5.0,7.0,11.2,19.6,31.2,38.0,41.2
