Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,,,,,11.2,18.8,48.5,70.4,90.7
1972,,,,,10.9,20.3,51.6,92.2,144.8
1973,,,,,9.7,13.2,35.6,58.9,81.0
1974,,,,,8.4,13.7,35.6,55.4,84.8
1975,,,,,11.7,18.3,35.1,58.9,87.9
1976,,,,,9.1,15.2,33.8,45.7,62.5
1977,,,,,8.1,13.5,29.2,44.7,66.8
1978,,,,,19.7,21.8,41.1,44.4,63.4
1979,,,,,10.5,17.0,43.0,68.1,98.8
1980,,,,,8.9,16.1,36.8,62.0,82.3
1981,,,,,12.6,21.4,48.4,76.0,121.8
1982,,,,,10.6,17.2,40.8,57.4,71.6
1983,,,,,12.6,20.3,32.6,53.8,92.8
1984,,,,,12.0,21.8,40.0,68.6,108.8
1985,,,,,14.8,22.8,36.6,59.0,77.8
1986,,,,,14.3,26.9,57.5,66.5,96.7
1987,,,,,8.0,14.7,25.4,41.6,59.3
1988,,,,,6.8,12.0,25.2,41.6,53.9
1989,,,,,16.3,20.7,40.5,58.0,75.3
1990,,,,,11.2,18.3,38.5,51.6,77.6
1991,,,,,11.3,20.2,45.6,72.4,92.0
1992,,,,,11.4,15.0,33.0,49.8,69.4
1995,,,,,14.3,21.3,43.4,64.0,76.5
1996,,,,,12.4,20.8,37.6,59.8,73.2
1997,,,,,9.8,15.0,40.0,60.4,114.6
1998,,,,,9.4,14.4,26.4,43.4,57.4
1999,,,,,14.4,22.8,57.6,87.8,101.0
2000,,,,,8.8,16.2,36.4,46.8,54.4
2001,,,,,14.2,21.1,34.3,49.6,61.5
