Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2005,5.4,10.0,12.8,21.6,33.0,46.6,72.8,76.8,80.2
2006,6.2,9.8,11.8,17.2,25.8,29.4,34.8,47.2,54.0
2007,,,,,,28.9,40.6,49.4,56.5
2008,5.4,7.8,8.2,10.2,15.4,24.8,55.0,80.0,87.2
2009,8.8,12.6,15.2,17.4,18.6,18.6,22.0,28.2,32.4
2010,7.0,14.0,19.4,36.6,42.6,43.8,53.4,76.8,77.0
2011,8.6,14.4,18.8,21.0,27.4,33.0,51.6,60.4,60.4
2012,8.8,17.0,22.2,36.4,45.4,48.0,51.0,54.8,58.0
2013,8.0,14.8,20.0,21.8,22.4,28.6,43.8,43.8,48.6
2014,5.6,7.6,10.4,15.6,16.6,21.2,28.8,35.4,37.2
2015,12.8,15.0,16.6,17.6,17.6,22.8,26.8,26.8,28.6
2016,6.2,11.4,15.6,27.6,50.0,59.6,65.0,65.2,65.4
