Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1964,5.6,5.6,6.9,11.9,19.0,28.4,52.3,82.8,141.7
1965,3.6,5.8,7.9,14.0,17.5,29.7,54.9,89.9,118.4
1966,2.5,4.1,6.1,8.9,13.7,24.1,61.5,85.6,115.3
1967,3.0,4.8,5.6,9.4,17.8,31.7,69.1,115.3,156.0
1968,3.8,5.6,7.1,10.2,17.8,26.7,70.9,101.1,186.7
1969,2.8,5.3,7.9,11.2,17.3,28.7,57.1,68.1,120.4
1970,3.0,4.3,6.1,11.7,20.8,34.8,72.1,94.2,112.5
1971,3.8,6.6,7.4,13.5,24.4,36.8,62.5,96.0,118.9
1972,4.1,6.3,8.9,12.2,20.8,34.0,83.1,145.3,236.0
1973,4.3,5.6,7.9,12.2,20.3,34.3,71.4,133.1,175.8
1974,3.0,5.1,7.1,11.4,18.8,32.5,77.5,117.3,156.0
