Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1943,11.7,14.2,17.8,20.8,23.6,26.7,33.5,48.3,64.3
1944,8.6,10.4,10.7,11.9,11.9,15.5,21.8,23.6,26.2
1945,15.5,15.7,16.3,17.5,18.8,26.2,30.0,48.8,52.8
1946,10.9,12.2,12.4,12.7,13.0,17.5,27.9,47.0,57.1
1947,6.3,8.1,11.2,11.9,19.8,21.3,28.7,28.7,40.9
1948,8.1,11.4,17.0,18.3,19.8,19.8,23.9,28.2,41.1
1949,9.1,11.9,14.7,18.3,24.9,29.7,30.5,37.6,37.6
1950,8.9,11.9,13.2,18.0,22.9,24.6,28.7,48.3,59.9
1951,8.1,8.6,9.1,12.7,21.6,26.7,34.3,36.6,55.6
1952,12.4,17.5,19.3,34.0,39.6,39.9,52.1,68.8,68.8
1953,8.1,8.9,9.1,11.2,17.5,25.4,31.0,34.5,39.6
1954,5.8,7.9,8.1,10.9,17.0,22.4,44.4,54.4,57.7
1955,11.7,15.5,16.8,16.8,17.8,18.5,21.1,35.1,35.3
1956,8.6,9.1,13.5,16.8,30.5,37.3,42.2,44.7,44.7
1957,10.2,17.8,23.4,26.7,26.7,27.9,35.1,38.9,41.4
1958,7.1,12.2,16.5,17.3,17.8,30.5,53.8,71.4,72.4
1959,7.1,11.7,13.7,18.8,27.7,32.5,37.1,53.3,54.9
1960,5.6,9.7,12.7,19.3,27.2,31.5,32.0,36.8,47.5
1961,7.1,9.4,11.7,16.0,18.3,20.1,27.7,44.7,49.8
1962,15.2,18.0,20.6,24.9,27.7,28.7,29.5,41.1,58.2
1963,13.2,22.9,30.5,35.3,40.4,42.2,58.4,70.1,70.1
1964,6.9,10.2,11.2,17.3,20.1,24.6,24.6,37.6,41.1
1965,10.7,14.5,15.5,17.3,19.8,22.4,33.0,47.8,50.8
1966,12.7,19.3,26.9,36.8,39.9,45.5,48.0,49.3,54.9
1967,9.7,16.8,20.8,25.9,25.9,25.9,25.9,32.5,48.3
1968,6.1,11.9,15.0,22.1,23.1,23.1,23.4,31.5,38.6
1969,8.6,13.7,19.8,37.1,48.5,48.5,48.5,48.5,57.9
1970,11.2,20.6,25.1,35.8,39.1,51.6,51.6,51.6,52.6
1971,6.3,9.1,10.9,12.4,14.0,16.5,27.7,31.2,31.5
1972,9.9,10.9,11.2,11.9,15.2,22.9,29.7,30.0,38.9
1973,10.4,14.7,20.8,27.9,36.6,45.7,45.7,45.7,45.7
1974,11.4,13.0,17.3,23.6,24.4,27.7,30.0,33.5,45.2
1975,9.4,14.2,17.8,27.2,41.9,45.0,45.7,77.5,94.2
1976,7.9,9.4,11.7,15.7,17.8,23.4,26.9,36.3,38.4
1977,6.1,8.9,10.4,13.7,14.7,23.1,38.6,39.1,39.1
1978,7.2,9.4,10.2,11.4,12.2,17.3,27.0,28.7,34.3
1979,4.7,5.4,6.3,9.4,17.1,25.7,56.6,79.9,81.9
1980,9.4,14.8,15.4,16.4,19.1,31.7,41.5,42.4,70.1
1981,7.3,12.9,16.8,25.4,30.2,31.4,31.7,34.5,45.4
1982,3.9,7.3,10.0,16.4,20.1,21.9,35.4,36.5,36.7
1983,6.0,12.0,14.0,18.0,22.0,24.0,27.5,31.0,36.9
1984,6.5,9.0,11.3,18.4,21.2,26.6,49.3,53.6,53.8
1985,4.7,6.0,7.1,8.1,9.9,16.3,38.8,44.7,48.8
1986,7.5,12.5,17.2,20.7,20.8,23.2,32.6,33.4,41.9
1987,15.9,23.3,27.0,35.2,44.0,47.6,56.8,57.4,72.9
1988,11.9,18.2,21.2,21.2,24.7,28.4,28.8,33.7,37.6
1989,6.5,12.7,18.8,27.7,35.0,35.0,38.4,41.6,65.2
1990,10.2,12.2,12.6,12.8,14.8,20.8,37.0,40.8,41.8
1991,6.1,10.2,13.8,23.0,26.2,26.6,34.6,39.7,41.1
1992,7.5,11.6,12.5,13.1,18.2,25.2,30.0,39.1,39.8
1993,7.0,10.9,12.8,16.7,17.1,19.1,22.0,32.4,48.1
2005,7.2,12.4,17.8,28.2,31.6,48.2,63.4,75.6,76.4
2006,7.0,10.2,11.8,15.2,16.4,23.0,34.0,43.6,47.6
2007,7.2,12.0,13.6,17.8,20.6,32.8,39.8,40.4,40.4
2008,11.6,20.0,23.6,25.4,26.6,27.4,27.8,38.0,38.0
2009,7.0,11.8,14.2,23.0,30.4,32.8,33.2,36.8,37.0
2010,5.0,7.4,10.0,16.2,18.4,30.8,49.8,64.0,70.8
2011,8.4,12.2,13.4,16.6,19.6,26.4,39.6,48.8,51.0
2012,9.8,11.0,12.6,16.8,22.2,28.0,33.8,34.6,34.6
2013,7.2,11.0,14.8,18.4,19.2,19.2,23.2,31.8,35.8
2014,3.6,5.2,7.4,11.2,16.6,25.4,27.6,38.0,46.2
