Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1963,5.1,5.6,6.3,8.9,10.9,13.7,26.4,39.6,63.8
1964,2.0,4.1,5.3,7.4,8.1,11.7,29.7,36.3,46.5
1965,4.1,5.1,6.6,11.7,16.8,17.3,37.6,50.0,53.1
1966,2.5,4.6,5.3,6.6,8.1,11.7,27.2,42.9,63.5
1967,1.8,3.0,3.6,5.6,10.9,14.0,36.3,53.3,56.6
1968,5.1,9.4,11.9,11.9,12.4,16.5,36.1,55.1,85.3
1969,3.8,4.3,4.6,5.3,8.9,12.2,26.2,50.0,64.8
1970,1.5,2.8,4.1,7.1,11.4,18.0,26.7,32.5,47.0
1971,2.0,2.8,3.3,5.6,7.9,11.9,21.1,33.0,57.4
1972,1.3,2.3,3.3,5.6,7.9,13.0,27.7,46.7,62.0
1973,1.8,2.8,4.1,7.1,11.7,18.3,33.8,41.4,72.4
1974,2.5,4.6,5.3,6.9,8.6,15.7,29.2,44.7,72.6
1975,4.3,4.8,5.1,5.3,8.4,14.7,31.2,41.9,59.7
1976,1.8,3.6,4.1,5.8,6.9,9.9,19.6,29.5,41.9
1977,2.3,3.3,3.3,4.8,7.4,11.2,25.9,40.6,49.0
1978,1.9,2.9,3.7,4.9,7.8,11.6,20.3,34.1,47.0
1979,5.0,6.0,7.0,9.3,9.9,14.1,30.0,44.8,62.7
1980,4.8,5.6,6.2,7.7,11.4,18.6,24.8,36.2,46.2
1981,2.3,3.5,4.9,8.4,15.0,20.4,37.2,42.2,51.1
1982,6.0,6.7,7.0,7.0,8.7,13.6,27.0,37.4,71.0
1983,3.1,5.7,7.5,11.4,16.8,24.8,36.2,60.2,89.6
1984,2.0,3.6,4.2,5.4,9.8,13.9,26.1,38.2,54.3
1985,1.8,2.5,2.7,3.8,6.5,10.7,23.2,39.0,40.0
1986,3.0,5.4,7.2,8.4,11.2,16.8,38.0,67.3,105.6
1987,1.8,2.7,4.0,6.3,8.6,12.1,28.9,34.3,46.5
1988,3.7,6.2,8.3,10.4,10.8,15.4,32.3,43.6,55.3
1989,2.9,4.0,5.1,8.6,10.8,12.9,25.3,37.0,39.3
1990,1.4,2.3,3.1,4.7,7.0,13.4,26.8,50.6,85.8
1992,2.3,3.4,4.1,6.7,9.4,15.2,33.6,44.5,56.3
1993,6.9,11.4,17.0,21.7,22.6,22.8,30.5,35.1,43.6
1994,4.1,4.6,5.3,6.2,7.6,13.1,32.6,49.0,54.3
1995,2.7,5.0,5.6,6.7,7.3,13.8,31.9,56.0,78.7
1996,2.3,3.7,4.1,4.8,8.1,15.0,28.4,34.5,42.7
1997,3.6,4.9,7.1,13.4,20.4,26.6,38.8,64.8,98.9
1998,2.8,4.3,6.0,11.7,21.5,38.3,76.0,91.1,103.1
1999,1.9,2.7,3.2,5.0,9.7,13.2,23.8,34.4,58.8
2001,2.4,2.9,3.5,5.6,10.0,14.0,30.5,37.3,58.5
2002,3.7,6.3,7.4,9.1,13.0,16.0,23.6,31.7,46.0
2003,1.9,3.3,4.4,6.3,8.5,13.1,34.1,56.5,84.9
2004,1.2,1.9,2.9,5.5,10.2,18.1,31.9,44.8,51.6
2006,,,,,,,,,62.2
