Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1964,,,,32.8,38.4,43.4,52.1,59.7,103.6
1966,,,,35.6,48.8,54.1,59.4,70.6,127.3
1967,,,,16.3,32.5,56.4,98.3,109.0,187.5
1968,,,,16.3,22.9,34.8,88.1,166.1,300.5
1969,,,,8.9,11.2,19.3,45.2,71.1,89.7
1970,,,,,17.3,34.0,76.7,96.0,132.8
1971,,,,,11.2,22.1,50.8,91.4,134.4
1974,,,,,20.6,29.2,66.8,106.4,198.4
1975,,,,,19.8,35.3,67.6,105.2,173.5
1976,,,,,48.3,52.8,62.0,106.2,150.4
1977,,,,,28.4,35.6,64.0,83.8,108.5
1978,,,,,20.8,41.6,91.9,94.8,110.2
1979,,,,,15.5,27.7,57.3,78.6,101.9
1980,,,,,40.6,55.9,136.3,219.6,287.1
1981,,,,,17.0,29.2,76.6,123.4,153.4
1982,,,,,15.2,26.0,52.4,62.0,94.2
1983,,,,,20.0,34.0,80.0,136.0,226.4
1984,,,,,21.0,25.8,58.0,96.2,140.0
1985,,,,,9.6,16.4,42.4,52.8,64.2
1986,,,,,24.0,44.8,100.2,171.0,265.0
1987,,,,,10.0,17.8,36.2,59.2,84.6
1988,,,,,20.0,33.2,65.6,86.6,108.8
1989,,,,,35.8,61.6,146.0,214.6,275.8
1990,,,,,37.6,67.6,151.0,216.0,292.0
1991,,,,,25.2,46.2,79.6,116.4,166.0
1992,,,,,12.8,20.4,50.4,88.8,160.2
1993,,,,,20.4,40.0,67.4,113.2,144.6
1994,,,,,19.4,37.8,84.2,120.6,165.0
1995,,,,,24.6,42.8,95.0,155.8,260.6
1996,,,,,22.0,34.0,58.0,74.0,118.2
1997,,,,,19.2,34.2,86.6,131.6,165.6
1998,,,,,20.0,34.0,95.6,146.8,195.6
1999,,,,,15.2,27.2,73.6,121.8,158.6
2000,,,,,15.6,20.0,41.4,56.4,57.8
2001,,,,,15.0,29.0,70.6,105.8,167.0
2002,,,,,14.8,28.0,78.8,140.0,211.6
2003,,,,,12.0,17.6,38.8,69.8,88.2
