Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1967,17.8,28.7,30.2,33.5,34.5,35.3,35.6,42.7,43.4
1968,10.9,13.0,14.7,15.2,18.8,27.4,37.6,42.4,53.6
1969,9.7,10.4,10.4,10.4,11.4,17.3,22.6,27.2,31.5
1970,10.9,14.0,15.5,22.9,37.3,40.6,41.1,45.0,46.7
1971,7.4,10.4,11.4,15.2,17.5,22.1,39.4,44.4,44.7
1972,6.3,8.1,9.9,10.7,16.8,17.5,38.6,42.4,43.2
1973,7.4,12.2,12.7,18.5,23.6,40.4,47.2,63.0,63.0
1974,6.3,9.4,11.4,16.3,21.6,27.4,48.8,61.0,62.7
1975,9.7,11.4,14.5,21.3,24.1,27.9,28.2,28.7,28.7
1976,5.3,7.6,8.9,14.2,15.0,15.2,20.1,25.7,33.8
1977,4.8,6.1,6.6,7.4,11.4,14.5,19.8,27.9,38.6
1978,9.0,9.5,10.0,11.2,12.5,17.5,33.8,41.1,42.3
1979,7.5,9.4,10.0,12.3,18.0,19.0,28.9,34.8,40.0
1980,3.3,6.5,9.7,16.5,19.8,27.8,35.9,47.9,49.6
1981,4.4,7.1,7.8,9.4,14.1,17.2,18.0,28.4,42.6
1982,3.8,6.3,7.8,9.2,10.7,14.4,28.2,31.0,31.3
1983,10.4,14.3,15.3,19.2,21.2,21.2,28.6,40.2,55.2
1984,5.7,7.9,9.5,11.7,19.2,25.7,31.1,35.0,49.8
1985,5.5,6.4,9.5,15.9,24.4,25.9,28.3,30.6,30.8
1986,7.6,9.3,11.0,14.6,17.8,23.7,35.8,36.8,45.4
1987,4.8,7.8,10.5,13.0,14.9,19.0,26.4,29.1,37.7
1988,10.6,13.9,17.2,26.2,38.2,49.6,76.6,78.7,82.0
1989,6.1,11.3,16.7,24.8,28.7,30.1,41.8,41.8,46.1
1990,7.2,11.4,15.0,16.8,23.7,34.9,40.4,40.6,45.8
1991,9.8,16.8,23.4,29.5,29.7,30.0,30.0,36.5,37.0
1992,6.3,7.8,8.1,10.0,11.5,16.8,21.1,21.6,31.4
1993,13.2,15.9,17.3,19.0,23.1,29.9,35.2,35.2,43.1
1994,7.1,9.6,12.5,19.2,19.8,19.8,19.8,22.4,28.6
1995,12.7,15.6,17.0,20.3,24.6,29.3,29.6,35.6,40.7
