Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2000,5.0,8.8,10.6,15.4,19.4,23.0,31.0,58.6,70.2
2001,8.6,9.8,10.2,15.4,20.8,31.0,52.2,58.8,68.2
2002,8.6,12.4,16.6,22.4,26.6,30.0,40.2,49.2,62.4
2003,4.0,8.0,10.6,16.0,19.8,20.6,24.0,36.8,42.8
2004,2.6,4.6,5.4,9.6,12.6,14.8,26.2,32.8,33.4
2005,5.8,9.4,13.2,18.2,18.2,28.0,39.7,55.4,66.1
2006,3.6,5.8,8.4,12.6,14.4,23.4,38.9,48.2,61.3
2007,4.6,5.0,6.4,8.8,14.4,19.2,31.2,35.8,36.6
2008,5.6,10.2,13.4,20.2,22.2,34.8,64.0,80.8,83.6
2009,5.2,8.8,11.0,18.6,19.4,32.8,62.2,88.8,91.4
2010,5.6,7.6,9.6,12.8,15.0,24.2,31.4,34.0,47.6
2011,9.0,13.8,16.6,19.8,27.6,31.2,31.4,41.0,57.6
2012,4.4,6.8,7.6,12.2,19.6,27.2,43.4,44.8,65.8
2013,4.6,9.2,9.6,10.0,12.2,21.2,29.8,41.6,42.2
2015,3.6,5.6,6.8,9.4,13.2,20.4,36.8,62.0,62.0
2016,6.4,11.0,15.0,17.6,18.6,19.4,26.2,39.4,52.6
