Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1962,4.6,9.1,10.7,10.7,16.0,31.5,37.3,37.3,55.9
1963,3.8,6.3,6.9,7.9,13.5,18.0,39.9,61.2,97.3
1964,3.3,3.8,3.8,5.8,9.7,15.0,30.5,39.6,70.9
1965,1.5,2.8,3.6,4.6,7.1,12.4,31.2,49.5,72.4
1966,2.8,3.0,3.3,5.1,7.9,11.9,29.0,48.5,62.7
1967,2.0,3.3,3.6,5.3,9.4,16.5,30.5,49.0,73.4
1968,2.0,3.6,4.6,6.6,12.4,21.1,48.3,79.0,139.7
1969,2.3,3.6,4.8,6.3,10.2,15.0,24.4,32.3,54.4
1970,2.0,2.5,3.3,6.3,10.7,16.3,24.6,35.8,51.6
1971,2.3,4.1,4.6,5.8,7.9,11.9,26.2,49.3,74.7
1972,2.3,4.3,5.8,11.2,13.7,17.5,44.2,81.3,123.7
1973,2.8,3.8,4.6,6.1,8.4,15.2,36.1,53.6,66.5
1974,6.6,10.9,12.2,17.8,19.3,22.1,27.4,40.9,54.6
1975,2.3,3.0,4.3,5.1,8.6,14.5,26.2,47.2,71.9
1976,5.8,7.6,7.6,7.9,8.1,14.0,30.0,47.0,57.7
1977,3.3,4.3,4.6,5.6,9.7,17.0,34.8,48.0,50.5
1978,2.8,3.4,3.7,6.5,9.9,13.7,25.5,38.5,41.4
1979,3.7,4.0,4.9,5.6,10.4,17.2,42.3,71.5,101.1
1980,3.3,4.5,5.4,7.8,13.8,22.7,39.8,54.4,54.4
1981,3.7,7.3,7.5,9.3,12.0,13.3,32.0,52.7,80.4
1982,5.9,7.8,11.8,14.9,17.2,21.2,46.5,55.2,57.3
1983,4.2,7.6,10.1,15.6,21.6,24.6,37.6,47.1,67.9
1984,3.7,5.4,8.0,10.0,12.0,15.2,31.0,38.7,62.2
1985,5.2,7.8,8.4,13.6,15.1,22.4,25.7,47.3,59.4
1986,5.1,6.4,7.1,8.6,12.8,18.5,39.8,56.8,81.1
1987,2.1,3.0,4.0,6.3,8.5,13.3,29.8,39.2,50.7
1988,4.0,4.6,6.5,8.6,11.8,14.8,32.6,51.7,57.0
1989,3.5,4.5,5.6,6.0,8.4,15.0,34.2,47.0,62.6
1990,3.1,4.1,5.4,6.7,9.3,14.1,29.4,42.2,64.0
1991,2.0,2.6,3.2,5.8,10.2,14.3,25.7,44.0,57.3
1992,2.4,3.6,4.4,6.0,8.6,13.8,,,44.4
1993,1.5,2.4,3.2,5.2,9.6,15.7,24.7,33.5,43.9
1994,2.2,3.6,4.3,7.6,10.4,13.7,32.7,41.3,63.8
1995,3.9,5.8,6.6,8.5,11.8,17.6,29.7,42.6,63.6
1996,5.2,5.9,7.6,10.9,14.6,16.6,31.8,55.4,69.3
1997,3.6,5.0,5.7,8.5,11.3,20.6,51.6,68.2,71.3
1998,9.0,11.8,13.0,14.2,15.4,17.2,29.2,43.6,58.1
1999,2.0,2.6,3.2,4.6,8.2,16.2,44.4,67.4,76.0
