Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2003,7.8,11.0,12.4,14.8,23.2,36.4,37.8,37.8,37.8
2004,8.0,11.4,16.2,20.4,26.6,40.4,72.2,81.8,82.2
2005,8.6,11.6,13.2,19.0,26.8,34.6,38.2,45.4,45.4
2006,6.8,11.8,15.0,18.0,21.2,22.2,29.4,40.7,54.2
2007,,,,27.9,35.5,39.5,43.3,48.0,55.6
2008,9.8,14.0,15.6,27.6,30.6,38.2,46.8,46.8,46.8
2011,8.0,11.6,12.6,14.2,21.2,36.0,38.8,46.8,46.8
2014,7.6,11.8,14.2,15.4,21.6,23.8,30.4,37.0,39.4
2015,5.8,9.8,11.2,20.4,33.6,49.6,86.0,122.2,129.0
2016,6.6,7.8,10.6,14.0,22.0,22.4,28.6,33.2,33.6
