Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2006,9.2,14.2,17.0,27.4,36.8,50.8,51.4,51.4,72.4
2007,8.0,15.0,19.6,23.8,23.8,24.4,25.4,27.2,40.0
2008,7.6,13.8,19.2,22.6,23.4,24.6,28.2,33.8,35.6
2009,7.4,10.6,13.8,18.6,28.2,31.8,40.4,44.4,46.4
2010,8.6,12.8,15.8,18.2,22.6,26.0,37.0,40.4,44.8
2012,11.2,17.0,20.2,21.2,21.2,22.4,42.6,43.2,43.2
2013,8.8,14.2,19.4,27.2,29.4,29.4,35.0,44.0,53.8
2014,9.8,16.8,20.6,27.6,27.8,44.4,51.8,51.8,65.4
2015,10.6,11.8,12.8,15.2,17.8,27.2,46.0,70.8,81.2
2016,7.4,9.6,9.6,12.8,16.6,18.4,28.6,28.8,28.8
