Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1969,,,,,31.7,31.7,50.8,52.1,52.1
1971,,,,,20.8,25.9,34.3,38.6,40.9
1972,,,,,28.4,42.4,54.6,55.9,62.2
1973,,,,,68.6,76.2,80.0,100.8,100.8
1974,12.2,16.3,20.8,38.1,42.9,43.2,52.6,52.6,70.9
1975,8.4,12.2,14.0,17.3,21.6,22.1,33.0,39.4,43.9
1976,10.2,14.0,15.5,21.3,38.6,39.9,44.4,51.3,58.4
1977,2.8,5.3,6.6,8.9,10.2,14.0,30.7,35.8,38.1
1978,4.6,7.7,10.3,10.8,11.5,16.0,29.4,34.7,43.9
1979,8.1,8.7,10.9,13.6,14.2,25.1,69.4,87.4,87.4
1980,4.3,7.9,11.2,19.8,24.8,31.9,44.2,44.2,45.2
1981,8.8,11.8,13.1,13.5,14.8,22.1,47.7,49.0,49.1
1982,5.6,9.0,13.4,20.5,27.9,30.9,38.1,45.6,48.2
1983,4.2,6.7,8.6,14.6,18.5,20.7,20.7,35.2,35.8
1984,5.8,8.3,12.3,16.7,31.6,40.1,40.2,44.9,46.0
1985,8.5,12.8,17.7,24.7,24.9,34.4,49.4,72.0,88.4
1986,7.6,10.0,12.1,18.0,31.4,41.4,46.2,54.7,57.5
1987,9.3,16.9,23.2,42.2,60.3,78.5,102.0,102.1,102.9
1988,3.8,7.4,10.8,18.4,19.9,22.5,34.0,34.0,57.8
1989,8.7,9.3,12.2,17.3,19.2,24.3,33.2,45.2,51.2
1990,6.4,10.2,11.6,19.8,27.5,30.0,37.7,69.4,70.0
1991,9.5,15.2,16.8,18.2,18.2,18.5,23.6,24.0,37.6
1992,3.6,4.2,5.1,9.0,12.5,16.7,28.6,38.7,59.0
1993,11.5,19.2,26.2,27.0,27.0,27.7,37.8,58.6,72.5
1994,10.8,12.0,16.2,22.4,23.4,25.5,48.2,51.2,53.8
1995,10.3,13.6,19.8,22.1,25.7,29.3,,,52.0
1996,9.8,13.8,16.6,18.3,18.3,18.3,,,56.0
1997,10.9,19.8,22.3,33.1,36.3,36.5,41.0,41.0,44.0
1998,9.9,13.9,17.4,25.3,31.4,39.2,43.5,43.5,54.1
1999,7.7,14.2,15.6,18.2,21.9,23.9,37.3,58.5,71.9
