Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,2.3,2.5,2.8,3.6,4.8,6.3,13.5,15.7,15.7
1972,3.3,3.8,4.8,7.1,9.1,10.9,10.9,10.9,12.4
1973,1.8,2.8,3.8,4.8,6.6,12.2,27.2,32.0,42.7
1974,5.1,5.6,6.9,7.4,11.7,12.7,13.0,14.5,15.2
1975,3.6,4.1,4.1,5.8,8.4,11.2,23.6,32.3,39.4
1976,4.6,6.3,8.4,13.0,15.5,23.1,29.0,30.7,45.7
1977,2.8,4.8,5.6,7.1,7.4,7.4,7.9,10.7,10.7
1978,5.8,7.4,8.1,9.0,9.0,9.0,15.4,19.6,25.6
1979,3.3,6.5,9.7,9.7,9.7,9.7,14.5,19.0,20.6
1980,6.2,6.8,7.2,10.6,12.2,12.5,18.5,25.6,34.3
1981,3.4,4.4,5.7,8.9,10.9,13.0,16.2,25.3,26.6
1982,3.3,5.2,5.6,8.2,11.1,11.4,11.8,15.7,20.2
1983,,,,,12.1,13.0,14.0,15.6,18.5
1984,4.4,6.2,9.2,18.4,22.0,27.0,29.2,30.1,48.4
1985,2.1,3.5,5.1,5.6,7.5,9.4,16.2,21.7,27.4
1986,3.9,6.4,8.0,10.1,11.1,13.7,19.0,19.0,25.2
1987,10.4,16.2,22.7,24.0,24.4,24.8,31.8,41.5,50.6
1988,2.2,3.5,4.6,7.3,13.1,18.8,24.8,26.8,28.0
1989,1.9,3.3,4.1,5.2,6.7,9.1,10.7,11.8,16.4
1990,,,,,14.7,21.9,30.0,34.2,47.6
1991,2.4,3.4,5.0,7.6,11.4,17.8,35.0,55.0,61.7
1992,2.5,3.6,4.5,5.4,6.5,9.9,18.3,29.7,39.9
1993,2.5,2.8,2.8,3.6,6.1,8.1,8.1,11.1,14.9
1994,1.3,2.0,2.5,3.8,7.0,9.4,13.0,16.6,19.4
1996,1.6,3.2,4.4,6.2,7.8,8.8,14.7,26.9,33.4
1997,3.1,6.1,7.2,7.6,8.9,9.1,15.9,25.6,28.1
1998,5.8,8.3,12.5,22.9,24.5,25.4,30.1,41.8,51.9
1999,5.7,8.4,8.6,8.8,8.8,9.9,,,30.4
2000,2.6,3.0,3.2,3.4,5.6,10.1,25.5,42.9,58.6
2001,6.8,8.3,9.7,9.9,10.7,18.9,37.4,49.1,54.7
2002,1.7,2.7,3.5,5.2,7.3,12.4,20.9,25.9,35.1
2003,3.2,4.7,5.0,5.5,6.1,9.4,14.1,15.8,16.4
2004,2.2,2.6,2.8,2.8,2.9,5.6,13.7,23.5,25.8
2005,3.2,4.0,4.6,9.1,15.5,21.9,39.5,44.8,48.3
2006,3.2,4.1,4.3,5.1,8.3,11.7,16.6,31.9,43.7
2007,3.8,4.9,5.3,6.2,8.6,10.2,15.9,23.2,26.8
2008,,,,,14.7,20.5,28.1,48.6,48.6
2009,4.6,7.5,10.4,12.1,13.3,14.8,18.6,18.8,19.0
2010,5.6,9.2,13.6,20.9,23.4,23.6,24.0,24.3,30.7
2011,,,,,17.9,20.3,20.3,30.3,35.9
2012,1.7,2.0,2.5,4.4,7.1,12.1,18.7,25.8,36.2
2014,8.2,13.0,15.1,16.0,17.6,21.8,28.7,36.2,37.0
2015,7.2,12.5,17.9,19.5,20.6,21.0,22.1,31.6,51.2
