Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1954,6.6,10.4,13.5,16.3,17.3,33.8,33.8,34.3,37.8
1956,5.6,5.8,6.9,9.4,12.4,17.8,42.4,48.0,48.3
1957,11.9,13.5,16.3,21.1,30.2,32.3,32.3,32.3,33.8
1958,10.2,17.3,23.9,36.1,38.9,39.1,40.9,42.9,42.9
1959,10.4,11.4,13.0,13.5,14.7,19.6,38.6,46.0,65.0
1960,5.3,8.1,9.1,9.9,15.5,21.1,34.3,49.8,49.8
1961,6.6,9.9,10.4,10.9,13.5,17.3,34.8,65.8,93.2
1962,5.6,6.9,7.4,8.1,10.9,16.5,35.1,44.7,64.3
1963,4.3,6.9,7.1,10.2,15.7,20.6,34.8,37.8,55.9
1964,12.7,14.0,15.7,15.7,15.7,19.0,24.6,39.4,54.1
1965,12.4,13.2,14.5,24.9,37.3,51.6,64.0,72.1,117.3
1966,6.1,10.2,12.7,17.8,22.4,32.3,32.5,37.1,37.1
1967,4.1,6.1,7.6,10.2,15.0,24.1,37.3,44.7,55.9
1968,8.9,14.2,15.5,20.8,21.6,24.6,38.6,39.9,42.7
1969,8.9,10.7,12.2,18.3,20.1,22.1,38.1,51.8,54.6
1970,13.2,21.1,22.1,22.1,22.1,24.6,31.2,42.2,74.2
