Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1982,3.9,5.9,6.3,8.3,10.9,16.8,21.5,32.9,43.2
1983,4.2,6.5,6.9,7.4,9.6,15.3,37.6,52.8,56.8
1984,3.3,4.0,4.7,6.9,12.2,20.8,33.3,39.0,40.9
1985,2.6,3.1,3.6,4.9,7.2,10.9,25.0,38.2,43.2
1986,3.4,4.7,6.8,7.8,9.9,15.2,36.8,49.7,76.9
1987,3.4,4.7,5.5,7.2,10.2,16.3,31.5,39.6,47.4
1988,3.5,4.2,5.6,7.4,7.8,13.2,28.4,46.2,57.3
1989,3.5,3.7,4.3,7.1,9.7,15.4,32.4,39.9,56.8
1990,2.8,3.1,3.7,5.9,8.7,13.2,34.0,42.2,61.1
1991,4.3,4.6,6.3,8.3,14.2,24.9,35.1,52.2,72.6
1992,3.0,3.3,3.7,6.2,8.3,13.1,21.0,36.4,50.1
1993,3.3,4.5,5.8,9.3,11.0,13.4,27.2,34.3,55.6
1994,4.6,7.0,9.4,15.0,19.6,23.0,38.1,44.2,77.0
1995,3.9,4.2,5.3,6.8,8.7,16.9,35.2,49.1,54.8
1996,3.4,4.3,5.6,6.7,9.4,15.0,29.9,44.4,52.7
1997,3.7,5.2,7.7,10.8,14.9,17.1,38.1,49.6,58.5
1998,2.6,3.4,4.2,6.9,10.5,14.0,33.2,45.9,51.6
1999,3.1,3.8,5.0,6.8,10.0,15.2,29.8,43.9,57.0
2000,3.9,5.1,5.8,7.9,10.5,15.5,24.1,42.9,60.6
2001,3.8,4.7,5.6,6.6,11.2,16.3,27.5,40.7,55.8
2002,4.0,5.0,6.5,11.3,18.6,28.7,50.0,54.0,68.0
2003,3.6,5.6,5.8,6.5,9.6,18.0,38.2,50.2,65.4
2004,2.2,3.8,4.8,8.8,10.9,15.5,28.4,34.9,46.2
2005,3.5,5.5,6.2,7.7,11.2,16.2,25.5,33.1,45.8
2006,2.2,4.2,5.8,7.3,11.2,17.1,29.5,36.3,50.5
2007,2.1,4.2,4.8,6.3,8.8,13.2,38.2,58.7,75.0
2008,3.3,6.6,6.6,6.6,9.6,13.4,28.4,35.5,46.1
2009,2.5,3.8,4.9,8.3,15.8,19.6,27.6,37.5,51.6
2010,3.2,6.4,6.9,6.9,9.2,15.5,28.1,43.0,54.6
2011,2.9,4.3,5.6,7.1,13.0,21.2,49.6,60.0,61.4
2012,2.1,4.0,4.5,7.3,7.6,10.2,22.1,31.0,33.1
2013,2.2,4.4,6.1,7.9,13.4,17.8,31.5,34.9,51.2
2014,7.2,9.1,10.2,10.8,13.1,23.2,28.9,44.7,67.7
2015,2.6,5.1,7.4,8.7,12.0,14.4,27.7,49.9,65.1
2016,3.6,5.1,7.6,9.0,10.8,18.9,40.9,41.5,61.5
2017,3.4,3.8,4.3,6.2,9.0,16.2,32.4,43.4,44.5
