Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1966,1.0,1.8,2.3,2.5,3.3,4.8,5.6,9.1,9.7
1967,3.6,5.8,6.1,6.3,8.4,8.9,13.5,14.5,15.2
1968,1.3,1.5,2.3,4.6,6.9,9.1,12.4,13.2,14.2
1969,5.1,8.1,12.2,19.8,27.9,30.2,31.0,31.0,31.0
1970,1.3,2.3,3.3,4.1,6.6,7.6,8.4,13.7,16.0
1971,2.3,2.5,2.5,3.0,4.1,5.8,15.0,17.5,17.5
1972,2.5,3.6,3.8,4.6,5.8,9.1,21.6,31.7,35.8
1973,2.3,3.3,4.1,5.6,5.6,9.9,10.2,18.0,19.6
1974,9.1,12.2,14.7,15.5,17.8,18.0,18.0,18.0,18.3
1975,2.8,4.3,4.8,5.1,5.6,7.4,17.0,23.4,27.2
1976,2.3,4.1,4.6,4.6,4.6,7.4,11.9,16.5,21.1
1977,2.5,4.3,6.3,6.6,7.9,8.6,10.4,12.7,12.7
1978,5.8,8.5,9.7,10.2,10.2,10.6,11.9,16.0,24.2
1979,3.4,4.4,5.2,6.3,6.5,6.5,10.4,10.8,14.8
1980,2.2,3.5,4.9,5.7,6.9,8.6,8.6,8.8,9.3
1981,,,,,6.9,12.7,20.7,22.7,28.6
1982,1.4,2.2,2.6,3.0,4.2,4.6,5.0,8.0,13.9
1983,,,,,,,,,
1984,2.4,2.7,3.0,3.5,4.3,6.1,11.0,19.0,21.7
1985,4.6,5.9,5.9,9.1,11.9,13.2,16.2,19.9,22.3
1986,4.4,6.2,7.6,9.2,12.9,16.5,17.0,17.0,31.8
1987,5.4,7.9,7.9,8.2,8.2,11.4,12.2,12.4,18.7
1988,1.7,2.9,3.9,4.6,4.6,6.1,9.6,10.7,14.6
1989,4.3,5.4,5.6,5.8,7.0,9.8,16.4,16.5,16.7
1990,4.4,6.9,8.2,11.5,13.8,16.7,21.2,25.0,25.0
1991,4.6,7.3,10.2,10.8,10.9,10.9,12.1,12.4,15.0
1992,1.6,3.0,4.4,5.4,6.6,8.2,11.5,16.5,20.5
1993,3.6,3.6,4.0,5.4,8.0,10.7,13.8,17.0,17.0
1994,1.9,2.5,2.6,4.2,5.0,9.1,17.3,20.5,31.6
1995,8.6,12.1,13.4,14.8,16.0,19.3,22.7,23.2,24.7
1997,5.0,6.8,9.0,11.1,15.8,18.7,19.2,22.6,27.0
1998,1.5,1.9,2.1,2.8,4.1,5.5,5.9,6.1,7.5
1999,4.0,5.5,6.6,10.0,10.4,10.4,12.8,17.6,25.9
2000,8.5,11.7,17.4,19.9,22.7,26.1,26.1,26.3,26.3
2006,6.2,10.1,13.3,16.3,16.7,20.7,22.5,24.2,28.3
2007,8.7,12.2,13.2,13.4,13.4,13.4,13.6,17.0,19.6
2008,3.4,4.9,4.9,4.9,4.9,7.6,13.0,22.7,29.5
2009,1.5,2.2,3.3,5.8,8.7,9.1,15.6,26.1,31.4
2010,5.6,10.0,12.4,16.6,18.0,20.6,21.6,22.0,22.4
2011,3.1,4.1,5.1,7.2,9.3,14.6,,,
2012,4.4,7.9,9.5,12.3,14.4,17.0,18.6,19.6,27.7
2013,6.6,7.9,8.5,8.5,8.7,11.1,15.2,16.8,20.8
2014,4.7,4.9,5.1,6.6,9.9,17.4,26.4,26.5,32.2
