Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1970,5.1,7.4,8.6,9.4,13.7,17.0,26.4,28.2,29.0
1971,,,,,,,,144.8,144.8
1972,6.3,10.2,13.5,25.1,26.4,28.2,35.1,35.6,38.1
1973,9.4,9.7,9.7,11.2,11.4,13.2,16.5,22.6,27.4
1974,5.1,7.1,9.9,11.2,11.4,16.8,24.1,30.7,36.6
1975,6.1,8.1,9.9,11.4,14.2,20.8,24.1,26.7,28.2
1976,9.7,13.7,18.8,23.4,25.4,27.7,29.2,38.9,40.6
1977,7.1,11.2,13.7,14.0,14.0,18.5,32.8,37.8,38.4
1978,6.7,12.8,16.4,20.0,20.7,25.7,26.2,29.5,31.8
1979,11.2,12.8,14.6,24.8,41.2,50.3,53.0,53.0,53.0
1980,8.5,11.3,13.6,18.3,24.3,27.7,28.5,38.8,46.0
1981,8.3,10.0,10.5,10.5,10.5,14.9,25.7,28.3,29.6
1982,8.1,14.5,17.8,18.8,18.8,18.8,34.2,35.0,35.0
1983,6.6,7.3,8.0,8.4,11.4,16.7,25.5,31.0,32.0
1984,10.9,16.8,19.3,21.4,32.5,48.2,70.2,70.8,70.8
1985,6.8,9.1,12.2,15.1,27.4,37.1,39.8,39.8,39.8
1986,8.9,11.3,12.3,17.5,17.5,30.4,49.3,72.0,80.8
1987,6.5,10.3,13.4,18.4,20.0,22.3,29.5,38.7,47.6
1988,7.5,8.4,12.8,17.9,19.2,20.3,26.9,32.7,44.5
1989,9.3,13.2,14.4,22.0,37.0,53.8,64.8,65.4,65.4
1990,4.8,7.9,11.8,16.0,22.4,24.0,29.1,31.2,36.1
1991,6.1,9.3,13.2,18.3,18.8,19.5,25.0,30.4,34.0
1992,7.2,8.4,8.9,11.9,15.6,21.6,25.5,31.2,51.8
1993,9.4,13.2,15.8,19.6,21.6,22.4,36.4,39.0,66.0
1994,10.4,13.5,18.6,27.0,29.3,33.7,37.8,38.2,39.0
1995,9.3,17.3,17.6,21.2,24.0,26.3,41.3,,45.7
1996,7.8,10.5,15.8,27.1,34.6,34.6,50.5,53.3,53.3
1997,7.6,10.5,11.8,18.8,21.4,25.6,36.6,37.4,37.4
1998,18.1,24.5,29.4,30.6,31.8,31.8,31.8,40.0,41.6
1999,8.6,12.9,15.4,17.4,18.6,29.7,,,50.0
2001,2.4,3.6,4.6,7.2,11.8,18.4,29.4,32.8,39.8
2002,7.3,9.1,9.9,14.6,21.4,30.0,44.4,45.0,51.9
2003,7.2,11.7,14.6,17.7,22.4,28.6,29.2,34.4,40.1
2004,6.3,9.8,11.0,15.6,19.3,22.1,40.9,51.2,51.2
2005,,,,,,,,,73.5
2006,,,,,,,,,70.4
