Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1964,7.9,14.7,14.7,14.7,18.8,19.8,24.6,36.8,47.5
1966,5.6,7.1,10.7,13.5,14.7,23.6,38.4,38.6,48.8
1967,10.2,12.4,16.8,20.1,20.1,27.9,34.8,40.4,50.0
1968,9.9,13.2,14.7,15.5,20.1,28.4,36.8,40.1,40.1
1970,17.5,24.4,34.0,38.6,45.2,49.0,50.3,50.3,50.3
1971,14.7,16.3,16.8,24.9,28.2,34.0,37.1,50.3,53.3
1972,7.1,7.4,9.9,11.2,13.5,15.2,18.5,23.1,36.8
1973,8.9,14.7,20.8,23.9,24.1,27.2,29.2,29.2,37.1
1974,5.8,8.1,9.7,19.3,23.4,26.9,31.5,38.4,38.9
1975,7.4,9.4,11.2,11.4,14.7,20.8,30.7,36.3,36.8
1976,10.2,12.7,13.7,15.2,22.1,28.7,31.5,35.6,36.8
1977,10.2,17.3,18.5,19.3,24.4,24.9,26.4,30.0,32.0
1978,12.0,20.0,23.6,24.6,25.2,25.2,31.0,33.2,37.8
1980,10.0,15.0,20.0,30.6,48.6,60.2,88.6,96.8,101.4
1981,9.3,12.7,13.7,13.7,20.0,22.4,27.8,28.0,37.8
1982,4.4,8.0,10.8,20.0,27.6,27.8,29.2,29.2,30.4
1983,6.1,10.6,11.8,16.7,16.9,17.0,21.0,24.8,25.7
1984,7.8,11.6,17.2,29.0,45.9,46.0,46.5,46.5,47.3
1985,8.1,11.1,11.8,12.7,14.5,18.8,21.8,27.8,28.2
1986,8.1,13.1,16.5,31.7,42.2,47.6,85.2,91.5,91.9
1998,6.2,11.6,13.3,17.2,19.1,26.0,28.3,28.3,38.2
1999,6.8,10.1,13.4,20.9,25.6,25.8,,,60.2
2000,13.6,23.8,28.3,29.9,30.5,37.3,59.1,59.1,77.5
2001,8.4,12.0,12.2,12.2,14.5,22.2,34.7,38.6,46.4
2002,11.6,21.3,29.7,43.2,45.3,48.5,50.6,51.0,51.2
2003,10.7,17.1,20.1,25.6,30.6,32.6,38.4,44.0,45.0
2004,8.8,12.9,17.1,26.6,41.3,47.2,50.3,53.8,53.8
2005,27.5,44.7,66.3,90.2,109.0,131.7,135.9,148.6,150.7
2006,6.9,11.2,12.8,14.5,14.5,17.4,29.2,35.0,37.9
2007,9.8,13.7,16.0,18.4,19.2,21.9,30.6,38.8,41.5
