Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1983,,,,,11.8,18.5,48.0,71.3,122.6
1984,,,,,11.8,17.4,37.4,60.0,93.4
1985,,,,,,,,,
1986,,,,,14.2,21.5,52.0,65.1,90.2
1987,,,,,9.2,16.7,33.4,55.1,83.4
1988,,,,,11.5,20.2,46.1,71.9,86.2
1989,,,,,10.9,17.7,43.0,66.5,79.7
1990,,,,,16.4,31.0,55.8,66.1,118.0
1991,,,,,9.4,14.1,35.5,71.0,121.2
1995,,,,,11.2,18.4,44.6,75.0,119.1
1996,,,,,11.5,17.1,43.0,63.2,75.2
1998,,,,,11.1,18.8,43.8,72.2,121.0
2000,,,,,12.9,21.5,47.3,64.9,71.5
2001,,,,,13.2,15.2,34.8,60.4,77.9
2002,,,,,11.0,19.2,42.4,61.8,95.1
