Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1973,5.8,10.9,15.5,16.5,17.8,22.9,38.9,55.6,65.0
1974,6.6,9.9,14.0,16.0,21.1,23.4,37.6,38.9,55.1
1975,6.9,9.4,10.7,15.0,16.8,23.9,40.6,46.0,46.0
1976,8.6,12.2,13.5,17.3,18.0,27.7,32.8,50.0,68.6
1977,3.0,5.6,7.6,8.9,12.2,15.2,30.7,39.1,39.6
1978,6.4,9.3,9.9,10.1,10.6,15.2,32.9,40.3,49.3
1979,10.7,17.7,17.9,20.6,23.9,24.0,66.2,85.4,85.4
1980,4.5,6.2,8.6,15.2,24.8,42.1,67.2,68.4,68.4
1981,,,,,15.5,26.0,41.1,46.0,56.4
1982,6.6,8.7,11.5,20.0,25.1,26.2,33.5,35.0,35.0
1983,5.8,9.5,12.1,17.2,20.9,24.8,25.0,30.2,38.5
1984,5.4,8.0,9.7,17.4,29.9,43.2,44.2,47.3,47.6
1985,3.9,6.3,8.8,11.7,14.4,24.3,41.3,73.4,95.0
1986,4.0,4.6,5.8,10.3,11.1,18.0,39.2,60.0,80.0
1987,9.6,12.0,15.4,18.7,19.9,24.0,25.5,27.8,39.0
1988,4.7,8.0,9.6,14.8,19.4,23.7,33.0,33.0,53.9
1989,9.7,18.2,24.5,32.3,32.4,37.8,46.8,47.0,51.3
1990,9.0,10.2,11.8,17.9,22.0,25.3,,47.2,47.2
1991,6.3,10.1,11.1,11.7,16.6,19.4,22.2,22.4,28.8
1992,7.0,8.4,11.4,18.0,23.5,32.4,42.3,48.8,63.7
1993,10.2,14.7,15.4,21.3,24.4,25.1,39.4,52.1,73.0
1994,9.3,16.1,20.2,22.3,22.8,25.1,43.6,43.8,54.9
1995,5.1,6.6,8.0,10.8,15.5,23.0,39.1,44.8,45.1
1996,11.4,19.4,23.0,24.1,24.4,24.8,,,57.0
1997,10.1,16.8,18.4,19.7,21.1,21.6,26.3,32.1,36.3
1998,10.8,16.5,20.8,26.3,32.9,43.3,45.8,51.5,56.4
1999,9.8,11.7,12.7,14.1,20.7,22.6,35.5,,56.0
