Name,Province,ID,Lat,Lon,Elevation
WOBURN,QC,7028946,45.38,-70.87,396
L'ACADIE,QC,702LED4,45.28,-73.35,43
MONTREAL PIERRE ELLIOTT TRUDEAU INTL,QC,702S006,45.47,-73.73,32
ANGERS,QC,7030170,45.55,-75.55,91
BARRAGE MERCIER,QC,7030457,46.72,-75.98,236
CHENEVILLE,QC,7031375,45.9,-75.08,222
MANIWAKI UA,QC,7034480,46.3,-76.02,188
MONTREAL MIRABEL INT'L A,QC,7035290,45.67,-74.03,82
NOMININGUE,QC,7035520,46.4,-75.08,274
STE AGATHE DES MONTS,QC,7036762,46.05,-74.28,394
ST JEROME,QC,7037400,45.8,-74.05,169
SHAWVILLE,QC,7038040,45.62,-76.47,167
BAIE-COMEAU A,QC,7040440,49.13,-68.2,21
BAIE ST PAUL,QC,7040446,47.42,-70.5,32
LOURDES DE BLANC SABLON A,QC,7040813,51.45,-57.18,37
CAP TOURMENTE,QC,7041177,47.07,-70.78,6
CHARLEVOIX (MRC),QC,7041312,47.28,-70.63,722
FORESTVILLE,QC,7042378,48.73,-69.08,76
FORET MONTMORENCY RCS,QC,7042395,47.32,-71.15,672
GAGNON A,QC,7042590,51.95,-68.13,567
GRAND FONDS,QC,7042870,47.75,-70.12,365
HAVRE-SAINT-PIERRE A,QC,7043018,50.28,-63.6,37
NATASHQUAN A,QC,7045400,50.18,-61.82,10
PENTECOTE,QC,7045910,49.73,-67.17,15
SEPT-ILES,QC,7047914,50.22,-66.25,52
BAIE-COMEAU,QC,704S001,49.27,-68.15,129
CAP MADELEINE,QC,7051160,49.23,-65.32,2
CAP SEIZE,QC,7051175,49.02,-66.4,229
GASPE A,QC,7052601,48.78,-64.48,34
GRANDE RIVIERE,QC,7052820,48.38,-64.53,8
LAC HUMQUI,QC,7053649,48.28,-67.57,235
LA POCATIERE CDA,QC,7054095,47.35,-70.03,30
MATANE,QC,7054640,48.85,-67.47,30
MONT JOLI A,QC,7055121,48.62,-68.22,52
MURDOCHVILLE,QC,7055380,48.95,-65.52,574
NOTRE DAME DU LAC,QC,7055675,47.6,-68.8,320
NOUVELLE,QC,7055705,48.1,-66.3,7
RIMOUSKI,QC,7056480,48.45,-68.52,35
RIVIERE AU RENARD,QC,7056563,49.02,-64.4,40
RIVIERE DU LOUP,QC,7056615,47.8,-69.55,148
ST ALEXIS DE MATAPEDIA,QC,7056814,47.98,-67.07,274
ST BRUNO KAMOURASKA,QC,7056922,47.45,-69.78,198
ST CHARLES GARNIER,QC,7056970,48.33,-68.05,323
STE GERMAINE,QC,7057287,46.42,-70.47,510
ST JEAN DE CHERBOURG,QC,7057395,48.88,-67.12,350
ST MALACHIE,QC,7057518,46.55,-70.82,221
ST MODESTE,QC,7057574,47.85,-69.38,152
ILES DE LA MADELEINE A,QC,705C2G9,47.42,-61.78,10
BAGOTVILLE A,QC,7060400,48.33,-71.0,159
JONQUIERE,QC,7063370,48.43,-71.13,135
LAC STE CROIX,QC,7063690,48.42,-71.75,152
MONT APICA,QC,7065100,47.97,-71.42,548
NORMANDIN CDA,QC,7065640,48.85,-72.53,137
PORTAGE DES ROCHES,QC,7066080,48.3,-71.22,164
ROBERVAL A,QC,7066685,48.52,-72.27,178
ST COEUR DE MARIE,QC,7067060,48.63,-71.72,106
LA BAIE,QC,706Q001,48.3,-70.92,151
GRANDE ANSE,QC,7072816,47.1,-72.93,119
LA TUQUE,QC,7074240,47.4,-72.78,152
ST MICHEL DES SAINTS,QC,7077570,46.68,-73.92,350
BARRAGE ANGLIERS,QC,7080452,47.55,-79.23,266
BARRAGE TEMISCAMINGUE,QC,7080468,46.72,-79.1,181
AMOS,QC,7090120,48.57,-78.13,310
CHIBOUGAMAU CHAPAIS A,QC,7091404,49.77,-74.53,387
LA GRANDE RIVIERE A,QC,7093716,53.63,-77.7,194
LA SARRE,QC,7094120,48.78,-79.22,244
MATAGAMI A,QC,7094639,49.77,-77.82,281
NITCHEQUON,QC,7095480,53.2,-70.9,536
RIVIERE HEVA,QC,7096621,48.2,-78.13,305
VAL-D'OR A,QC,7098600,48.07,-77.78,337
INUKJUAK UA,QC,7103282,58.47,-78.08,24
KUUJJUARAPIK A,QC,7103536,55.28,-77.75,12
KUUJJUAQ A,QC,7113534,58.1,-68.42,39
QUAQTAQ,QC,7116270,61.05,-69.63,30
SCHEFFERVILLE A,QC,7117825,54.8,-66.82,521
BROADVIEW,SK,4010879,50.37,-102.57,599
DAVIN 5,SK,4012164,50.37,-104.17,655
ESTEVAN,SK,4012410,49.22,-102.97,580
INDIAN HEAD CDA,SK,4013480,50.55,-103.65,579
INDIAN HEAD PFRA,SK,4013490,50.5,-103.68,604
MOOSE JAW CS,SK,4015322,50.33,-105.53,577
ORMISTON,SK,4015680,49.72,-105.37,685
REGINA INT'L A,SK,4016560,50.43,-104.67,577
WYNYARD,SK,4019035,51.77,-104.2,560
YORKTON A,SK,4019080,51.27,-102.47,498
WEYBURN,SK,401HP5R,49.7,-103.8,588
SWIFT CURRENT A,SK,4028040,50.3,-107.68,816
SWIFT CURRENT CDA,SK,4028060,50.27,-107.73,825
BAD LAKE IHD 102,SK,404037Q,51.32,-108.42,637
KINDERSLEY A,SK,4043901,51.52,-109.18,693
NORTH BATTLEFORD RCS,SK,4045607,52.77,-108.27,548
SCOTT CDA,SK,4047240,52.37,-108.83,659
MELFORT,SK,4055079,52.82,-104.6,490
OUTLOOK PFRA,SK,4055736,51.48,-107.05,541
PRINCE ALBERT A,SK,4056240,53.22,-105.67,428
SASKATOON RCS,SK,4057165,52.17,-106.72,504
SASKATOON U OF S,SK,4057200,52.13,-106.63,515
SASKATOON WATER TP,SK,4057202,52.12,-106.68,483
BUFFALO NARROWS (AUT),SK,4060983,55.83,-108.42,440
CLUFF LAKE,SK,4061590,58.37,-109.52,330
COLLINS BAY,SK,4061630,58.18,-103.7,491
CREE LAKE,SK,4061861,57.35,-107.13,494
ISLAND FALLS,SK,4063560,55.53,-102.35,299
LA RONGE A,SK,4064150,55.15,-105.27,379
MEADOW LAKE A,SK,4065058,54.13,-108.52,480
STONY RAPIDS A,SK,4067PR5,59.25,-105.83,245
URANIUM CITY A,SK,4068340,59.57,-108.48,318
WASKESIU LAKE,SK,4068559,53.92,-106.07,569
NIPAWIN A,SK,4075518,53.33,-104.0,371
HUDSON BAY A,SK,4083321,52.82,-102.32,358
BURWASH A,YT,2100182,61.37,-139.05,806
CARMACKS,YT,2100300,62.1,-136.3,524
DAWSON A,YT,2100402,64.03,-139.13,370
HAINES JUNCTION,YT,2100630,60.77,-137.58,595
MAYO A,YT,2100700,63.62,-135.87,503
PELLY RANCH,YT,2100880,62.83,-137.32,445
TESLIN (AUT),YT,2101102,60.17,-132.73,705
WATSON LAKE A,YT,2101200,60.12,-128.82,687
WHITEHORSE AUTO,YT,2101310,60.73,-135.1,707
