Name,Province,ID,Lat,Lon,Elevation
VERNON,BC,1128551,50.23,-119.28,556
SUMMERLAND CS,BC,112G8L1,49.57,-119.65,454
CASTLEGAR A,BC,1141455,49.3,-117.63,495
CASTLEGAR BCHPA DAM,BC,1141457,49.33,-117.77,435
CRESTON WPCC,BC,1142164,49.1,-116.53,538
DUNCAN LAKE DAM,BC,1142574,50.23,-116.97,548
FAUQUIER,BC,1142820,49.87,-118.07,490
TRAIL BIRCHBANK,BC,1148211,49.2,-117.73,594
CRANBROOK A,BC,1152102,49.62,-115.78,940
KIMBERLEY PCC,BC,1154203,49.63,-115.97,889
SPARWOOD,BC,1157630,49.75,-114.88,1137
BLUE RIVER A,BC,1160899,52.13,-119.28,690
KAMLOOPS A,BC,1163780,50.7,-120.43,345
SALMON ARM A,BC,1166R45,50.68,-119.23,527
GOLDEN A,BC,1173210,51.3,-116.98,784
MICA DAM,BC,1175122,52.05,-118.58,579
REVELSTOKE AIRPORT RD,BC,1176751,50.95,-118.17,450
VALEMOUNT NORTH,BC,1178CL9,52.85,-119.25,891
YOHO PARK,BC,11790J1,51.43,-116.33,1602
YOHO NAT PARK BOULDER CR,BC,117R00F,51.38,-116.53,1219
CHETWYND A,BC,1181508,55.68,-121.63,609
DAWSON CREEK A,BC,1182285,55.73,-120.18,654
FORT ST JOHN A,BC,1183000,56.23,-120.73,694
GERMANSEN LANDING,BC,1183090,55.78,-124.7,766
HUDSON HOPE BCHPA DAM,BC,1183FL0,56.02,-122.2,678
MACKENZIE A,BC,1184790,55.32,-123.13,690
SIKANNI CHIEF,BC,1187335,57.25,-122.72,937
WARE,BC,1188696,57.43,-125.63,777
DEASE LAKE,BC,1192340,58.43,-130.02,806
FORT NELSON A,BC,1192940,58.83,-122.6,381
MUNCHO LAKE,BC,1195250,58.93,-125.77,836
TETSA RIVER,BC,1195J29,58.65,-124.23,810
ATLIN,BC,1200560,59.57,-133.7,673
PLEASANT CAMP,BC,1206197,59.45,-136.37,274
TELEGRAPH CREEK,BC,1208041,57.9,-131.33,249
TODAGIN RANCH,BC,1208202,57.6,-130.07,899
BRANDON RCS,MB,5010490,49.9,-99.95,409
PORTAGE SOUTHPORT,MB,5012324,49.9,-98.28,272
DEERWOOD RCS,MB,5020725,49.4,-98.32,341
GLENLEA,MB,5021054,49.65,-97.12,234
MIAMI THIESSEN,MB,5021737,49.45,-98.25,297
MORDEN CDA CS,MB,5021849,49.18,-98.08,297
PILOT MOUND (AUT),MB,5022125,49.18,-98.9,470
ST ANDREWS A,MB,50225DP,50.05,-97.03,231
WINNIPEG STP,MB,5023261,49.95,-97.1,232
WINNIPEG THE FORKS,MB,5023262,49.88,-97.13,230
WINNIPEG A CS,MB,502S001,49.92,-97.25,238
BERENS RIVER A,MB,5030202,52.37,-97.02,222
BISSETT,MB,5030282,51.03,-95.7,259
GIMLI,MB,5031038,50.63,-97.02,222
GRAND RAPIDS HYDRO,MB,5031111,53.17,-99.28,222
INDIAN BAY,MB,5031320,49.62,-95.2,326
DAUPHIN CS,MB,5040681,51.1,-100.07,304
NEEPAWA WATER,MB,5042005,50.22,-99.47,358
FLIN FLON,MB,5050919,54.68,-101.68,303
THE PAS CLIMATE,MB,5052890,53.97,-101.1,274
